#=====================================================
# File created:        Sat-14-Feb-2026-at-04-02-57PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        7.407196
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -434.1311  0.2688 
   00001    0.7025    -594.6122  0.2715 
   00002    0.6400    -730.2337  0.3059 
   00003    0.5875    -816.0624  0.3128 
   00004    0.5250    -906.5519  0.3366 
   00005    0.4900    -962.8076  0.3804 
   00006    0.5125    -995.4962  0.4142 
   00007    0.4825   -1031.3199  0.4049 
   00008    0.5200   -1048.9484  0.4343 
   00009    0.4650   -1058.8768  0.4302 
   00010    0.4625   -1094.5723  0.4100 
   00011    0.4425   -1098.9463  0.4350 
   00012    0.4350   -1104.2395  0.4348 
   00013    0.4675   -1139.3478  0.4474 
   00014    0.4500   -1143.6798  0.4463 
   00015    0.4700   -1151.5137  0.4467 
   00016    0.4325   -1153.6428  0.4728 
   00017    0.4325   -1190.1051  0.4617 
   00018    0.4300   -1178.5559  0.4626 
   00019    0.4075   -1158.9176  0.4423 
   00020    0.4800   -1145.7320  0.4592 
   00021    0.4350   -1144.7145  0.4802 
   00022    0.4775   -1146.2349  0.4729 
   00023    0.4500   -1171.4960  0.4638 
   00024    0.4700   -1182.0860  0.4798 
   00025    0.4500   -1178.7113  0.4821 
   00026    0.4525   -1166.5290  0.4921 
   00027    0.4325   -1143.6741  0.4821 
   00028    0.4625   -1148.1057  0.4796 
   00029    0.4300   -1145.9049  0.4824 
   00030    0.4325   -1170.9421  0.4956 
   00031    0.4350   -1163.5100  0.4965 
   00032    0.4400   -1183.9734  0.5222 
   00033    0.4200   -1206.4101  0.5457 
   00034    0.3750   -1203.2886  0.5576 
   00035    0.3825   -1190.0582  0.5552 
   00036    0.4225   -1173.5717  0.5426 
   00037    0.4000   -1179.3691  0.5658 
   00038    0.4375   -1197.1277  0.5693 
   00039    0.4525   -1188.2717  0.5735 
   00040    0.4525   -1218.1444  0.5777 
   00041    0.4475   -1218.1342  0.5933 
   00042    0.4350   -1194.8349  0.5854 
   00043    0.4250   -1174.7808  0.5838 
   00044    0.4775   -1190.4231  0.5956 
   00045    0.3975   -1205.6426  0.5937 
   00046    0.4500   -1200.0557  0.5790 
   00047    0.4400   -1197.0580  0.5728 
   00048    0.4200   -1201.8761  0.5863 
   00049    0.4050   -1193.4048  0.5735 
   00050    0.4200   -1187.4301  0.5726 
   00051    0.4000   -1191.6914  0.5760 
   00052    0.4675   -1170.5340  0.5544 
   00053    0.4475   -1179.6595  0.5702 
   00054    0.4525   -1170.7190  0.5691 
   00055    0.4125   -1185.3115  0.5751 
   00056    0.4375   -1170.1868  0.5698 
   00057    0.4100   -1179.9317  0.5795 
   00058    0.4825   -1198.6123  0.5868 
   00059    0.4275   -1222.3751  0.5961 
   00060    0.4500   -1216.0320  0.6060 
   00061    0.4125   -1236.5161  0.6193 
   00062    0.3825   -1246.3115  0.6206 
   00063    0.4225   -1219.2012  0.6108 
   00064    0.4425   -1200.9580  0.6201 
   00065    0.3925   -1209.6536  0.6081 
   00066    0.4050   -1212.8957  0.6136 
   00067    0.4125   -1218.5578  0.6238 
   00068    0.4300   -1228.1424  0.6161 
   00069    0.4150   -1223.9099  0.6215 
   00070    0.4150   -1201.7443  0.6069 
   00071    0.3625   -1217.9862  0.6126 
   00072    0.4150   -1198.6267  0.6356 
   00073    0.4075   -1227.4277  0.6446 
   00074    0.3800   -1242.3003  0.6615 
   00075    0.4650   -1228.0243  0.6555 
   00076    0.3925   -1245.0190  0.6620 
   00077    0.4250   -1219.4284  0.6629 
   00078    0.4150   -1195.3294  0.6532 
   00079    0.4150   -1185.3304  0.6485 
   00080    0.4425   -1192.1875  0.6492 
   00081    0.4875   -1180.6851  0.6378 
   00082    0.4200   -1200.1889  0.6377 
   00083    0.4375   -1192.7058  0.6391 
   00084    0.4500   -1200.9447  0.6458 
   00085    0.4225   -1206.5739  0.6443 
   00086    0.4225   -1193.7904  0.6577 
   00087    0.4200   -1197.7494  0.6511 
   00088    0.3725   -1218.3627  0.6410 
   00089    0.3825   -1218.7157  0.6465 
   00090    0.4000   -1230.1144  0.6437 
   00091    0.4375   -1223.7098  0.6428 
   00092    0.4150   -1230.6326  0.6437 
   00093    0.4100   -1235.6395  0.6469 
   00094    0.4325   -1214.3438  0.6289 
   00095    0.4100   -1234.3422  0.6489 
   00096    0.4325   -1218.8697  0.6370 
   00097    0.4050   -1234.0013  0.6628 
   00098    0.3775   -1250.2061  0.6641 
   00099    0.3475   -1248.2079  0.6734 
   00100    0.4050   -1260.9574  0.6719 
   00101    0.4175   -1247.7264  0.6811 
   00102    0.3800   -1252.5305  0.6620 
   00103    0.3800   -1243.4926  0.6671 
   00104    0.4075   -1241.1565  0.6629 
   00105    0.4100   -1256.2439  0.6806 
   00106    0.3900   -1254.3494  0.6959 
   00107    0.3900   -1239.9381  0.7028 
   00108    0.3950   -1228.1188  0.6918 
   00109    0.4325   -1223.5756  0.6835 
   00110    0.3925   -1224.0392  0.7016 
   00111    0.3750   -1241.9559  0.7016 
   00112    0.4475   -1247.7194  0.6948 
   00113    0.4150   -1253.9268  0.7226 
   00114    0.3875   -1264.6464  0.7259 
   00115    0.3725   -1259.2341  0.7328 
   00116    0.4225   -1239.4955  0.7295 
   00117    0.4350   -1239.5626  0.7412 
   00118    0.4150   -1233.4146  0.7524 
   00119    0.4675   -1223.7655  0.7223 
   00120    0.4150   -1234.2470  0.7303 
   00121    0.3925   -1243.2942  0.7318 
   00122    0.3825   -1240.9565  0.7289 
   00123    0.4150   -1241.2316  0.7416 
   00124    0.4225   -1251.4841  0.7402 
   00125    0.3800   -1262.9351  0.7608 
   00126    0.4325   -1306.5596  0.7769 
   00127    0.4000   -1293.5739  0.7705 
   00128    0.4150   -1316.6960  0.7810 
   00129    0.4175   -1290.1762  0.7783 
   00130    0.4000   -1267.7603  0.7732 
   00131    0.4225   -1254.0565  0.7853 
   00132    0.3650   -1241.9748  0.7674 
   00133    0.4275   -1239.1834  0.7537 
   00134    0.4175   -1258.5617  0.7531 
   00135    0.4150   -1259.8173  0.7483 
   00136    0.3925   -1280.4937  0.7522 
   00137    0.3700   -1286.9641  0.7483 
   00138    0.3950   -1282.6149  0.7611 
   00139    0.3925   -1273.2959  0.7652 
   00140    0.4275   -1306.6091  0.7659 
   00141    0.4275   -1292.0564  0.7608 
   00142    0.4400   -1263.0096  0.7411 
   00143    0.4000   -1270.0867  0.7468 
   00144    0.3775   -1263.7172  0.7312 
   00145    0.4550   -1277.8959  0.7308 
   00146    0.3700   -1261.0757  0.7353 
   00147    0.3500   -1268.4060  0.7391 
   00148    0.3975   -1286.7549  0.7525 
   00149    0.4075   -1276.1985  0.7396 
   00150    0.4175   -1296.8099  0.7469 
   00151    0.4100   -1296.0891  0.7402 
   00152    0.3850   -1270.1868  0.7332 
   00153    0.4025   -1297.3602  0.7397 
   00154    0.3975   -1262.5874  0.7357 
   00155    0.3950   -1277.2648  0.7300 
   00156    0.3975   -1279.8991  0.7308 
   00157    0.3950   -1258.5223  0.7195 
   00158    0.3750   -1269.8515  0.7306 
   00159    0.3900   -1252.6477  0.7252 
   00160    0.4025   -1259.9340  0.7320 
   00161    0.4000   -1246.8840  0.7214 
   00162    0.4275   -1224.1574  0.7122 
   00163    0.4350   -1233.5603  0.7114 
   00164    0.4225   -1233.8424  0.7166 
   00165    0.4075   -1243.6351  0.7323 
   00166    0.4100   -1250.7202  0.7312 
   00167    0.3950   -1265.3220  0.7326 
   00168    0.3500   -1291.1250  0.7457 
   00169    0.4125   -1264.3441  0.7287 
   00170    0.4050   -1264.6118  0.7151 
   00171    0.4175   -1264.4878  0.6915 
   00172    0.3975   -1251.7194  0.6799 
   00173    0.4350   -1270.7088  0.6770 
   00174    0.3600   -1240.6190  0.6651 
   00175    0.4100   -1233.4616  0.6815 
   00176    0.4325   -1247.8156  0.6873 
   00177    0.4300   -1263.4789  0.6756 
   00178    0.4075   -1253.5959  0.6550 
   00179    0.3950   -1241.4941  0.6650 
   00180    0.4500   -1248.6171  0.6808 
   00181    0.4550   -1228.7782  0.6721 
   00182    0.4075   -1223.0128  0.6628 
   00183    0.3950   -1212.5534  0.6485 
   00184    0.3850   -1226.1246  0.6688 
   00185    0.3975   -1221.2578  0.6821 
   00186    0.4000   -1224.9847  0.6896 
   00187    0.4050   -1230.2359  0.7164 
   00188    0.3900   -1234.3341  0.7189 
   00189    0.4300   -1243.6218  0.7106 
   00190    0.4325   -1265.3399  0.7117 
   00191    0.4175   -1244.5756  0.7034 
   00192    0.4025   -1269.2182  0.7101 
   00193    0.4125   -1247.8205  0.6974 
   00194    0.4225   -1257.4510  0.6978 
   00195    0.3950   -1231.9352  0.6914 
   00196    0.4000   -1227.8668  0.6976 
   00197    0.4225   -1221.1088  0.7032 
   00198    0.3975   -1216.1963  0.7082 
   00199    0.4125   -1206.1150  0.6943 
   00200    0.4225   -1224.9204  0.6942 
   00201    0.4375   -1216.8073  0.6888 
   00202    0.4375   -1244.3508  0.6882 
   00203    0.4025   -1248.8680  0.6962 
   00204    0.4175   -1245.0494  0.6995 
   00205    0.4150   -1274.6321  0.7183 
   00206    0.4100   -1293.4254  0.7227 
   00207    0.4175   -1284.8547  0.7337 
   00208    0.4050   -1305.0788  0.7271 
   00209    0.4025   -1302.3036  0.7397 
