#=====================================================
# File created:        Fri-13-Feb-2026-at-12-55-08PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.600
# Run time (s):        15.518291
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -358.4636  0.2782 
   00001    0.7000    -553.3442  0.2814 
   00002    0.5900    -693.3730  0.3137 
   00003    0.6250    -779.2651  0.3215 
   00004    0.6225    -850.5511  0.3249 
   00005    0.5425    -893.3348  0.3196 
   00006    0.5350    -959.3113  0.3555 
   00007    0.5250    -973.9797  0.3511 
   00008    0.4600   -1016.9598  0.3895 
   00009    0.4800   -1032.9690  0.3935 
   00010    0.4450   -1025.2475  0.4028 
   00011    0.4800   -1070.7366  0.4153 
   00012    0.4800   -1081.8139  0.4187 
   00013    0.4875   -1089.4043  0.4500 
   00014    0.4650   -1125.8951  0.4774 
   00015    0.4725   -1122.0717  0.4667 
   00016    0.4475   -1129.7940  0.4947 
   00017    0.4675   -1128.8425  0.5002 
   00018    0.4375   -1138.1217  0.5092 
   00019    0.4450   -1141.7059  0.5147 
   00020    0.4125   -1178.8539  0.5372 
   00021    0.4525   -1179.9867  0.5390 
   00022    0.4650   -1172.9488  0.5505 
   00023    0.4250   -1182.0524  0.5604 
   00024    0.4125   -1206.1665  0.5667 
   00025    0.4200   -1188.0100  0.5612 
   00026    0.4200   -1177.4195  0.5543 
   00027    0.4400   -1187.8622  0.5501 
   00028    0.4350   -1191.8478  0.5630 
   00029    0.4525   -1218.1754  0.5773 
   00030    0.4150   -1206.3359  0.5758 
   00031    0.3900   -1181.4447  0.5767 
   00032    0.4175   -1176.6654  0.5851 
   00033    0.3975   -1185.2881  0.5951 
   00034    0.4450   -1193.3617  0.6175 
   00035    0.4350   -1205.3123  0.6235 
   00036    0.3900   -1209.5485  0.6024 
   00037    0.4100   -1206.1174  0.6157 
   00038    0.4450   -1218.8027  0.6259 
   00039    0.4350   -1230.8858  0.6270 
   00040    0.4450   -1246.9888  0.6324 
   00041    0.4125   -1238.7118  0.6474 
   00042    0.3875   -1235.6562  0.6589 
   00043    0.4125   -1229.9634  0.6700 
   00044    0.4475   -1245.4560  0.6552 
   00045    0.4075   -1245.7402  0.6691 
   00046    0.4450   -1244.0796  0.6686 
   00047    0.3975   -1254.9240  0.6809 
   00048    0.4200   -1269.1933  0.7001 
   00049    0.4100   -1269.0633  0.6942 
   00050    0.4100   -1274.2443  0.7002 
   00051    0.4200   -1253.2893  0.6820 
   00052    0.4475   -1228.5952  0.6858 
   00053    0.4200   -1240.1210  0.6835 
   00054    0.4125   -1242.6068  0.6831 
   00055    0.4225   -1258.2973  0.6772 
   00056    0.4675   -1281.4236  0.6742 
   00057    0.3875   -1275.7390  0.6816 
   00058    0.3575   -1286.1054  0.6802 
   00059    0.3875   -1264.9397  0.6868 
   00060    0.3675   -1260.8515  0.6856 
   00061    0.4325   -1247.2187  0.6844 
   00062    0.3825   -1252.0332  0.6726 
   00063    0.4250   -1258.8548  0.6837 
   00064    0.4225   -1276.6043  0.6873 
   00065    0.4125   -1285.1352  0.7158 
   00066    0.4075   -1300.1624  0.7322 
   00067    0.4075   -1294.7503  0.7434 
   00068    0.4200   -1297.9359  0.7495 
   00069    0.3725   -1278.4982  0.7584 
   00070    0.4425   -1286.1146  0.7696 
   00071    0.4300   -1278.0114  0.7629 
   00072    0.4150   -1307.7041  0.7881 
   00073    0.4050   -1313.9415  0.7928 
   00074    0.4075   -1321.9016  0.8004 
   00075    0.4200   -1318.1229  0.8184 
   00076    0.4150   -1308.7163  0.8131 
   00077    0.4175   -1334.8510  0.8232 
   00078    0.3750   -1303.1965  0.8256 
   00079    0.3900   -1319.7897  0.8373 
   00080    0.4125   -1329.9798  0.8346 
   00081    0.3850   -1340.8094  0.8367 
   00082    0.3825   -1332.5050  0.8434 
   00083    0.3900   -1350.3627  0.8487 
   00084    0.3800   -1342.1076  0.8330 
   00085    0.4125   -1350.9541  0.8462 
   00086    0.4325   -1344.1883  0.8458 
   00087    0.4050   -1330.2512  0.8421 
   00088    0.4000   -1308.2054  0.8377 
   00089    0.3900   -1296.0439  0.8441 
   00090    0.3775   -1318.9544  0.8472 
   00091    0.4125   -1314.7280  0.8525 
