#=====================================================
# File created:        Fri-13-Feb-2026-at-12-10-58PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        7.985732
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -398.8332  0.2685 
   00001    0.7050    -602.4164  0.3307 
   00002    0.5950    -743.8757  0.3076 
   00003    0.5750    -866.0646  0.3322 
   00004    0.5300    -905.3607  0.3244 
   00005    0.5200    -943.1575  0.3122 
   00006    0.4825    -955.4439  0.3290 
   00007    0.4675    -972.2331  0.3588 
   00008    0.4900   -1016.1027  0.3921 
   00009    0.4625   -1025.3672  0.3928 
   00010    0.4700   -1054.6841  0.3817 
   00011    0.3900   -1093.6752  0.3765 
   00012    0.4100   -1093.0702  0.3706 
   00013    0.4400   -1084.2633  0.4128 
   00014    0.4825   -1087.3780  0.4090 
   00015    0.4625   -1086.2135  0.4107 
   00016    0.4600   -1124.1102  0.4252 
   00017    0.4225   -1126.8639  0.4265 
   00018    0.5050   -1134.6065  0.4350 
   00019    0.4525   -1120.7119  0.4415 
   00020    0.4875   -1159.7954  0.4605 
   00021    0.4350   -1157.0384  0.4492 
   00022    0.4275   -1183.2551  0.4503 
   00023    0.4150   -1180.1949  0.4655 
   00024    0.4350   -1174.8828  0.4913 
   00025    0.4275   -1149.6942  0.4785 
   00026    0.4300   -1149.2051  0.4868 
   00027    0.4425   -1145.4319  0.4848 
   00028    0.4600   -1138.9432  0.4815 
   00029    0.4675   -1132.8546  0.4672 
   00030    0.4500   -1155.6129  0.4877 
   00031    0.4575   -1169.5341  0.5135 
   00032    0.4525   -1186.4320  0.5323 
   00033    0.4275   -1188.7120  0.5621 
   00034    0.4450   -1219.8874  0.5605 
   00035    0.3850   -1233.2214  0.5541 
   00036    0.4150   -1246.3654  0.5609 
   00037    0.4075   -1248.4077  0.5776 
   00038    0.3800   -1247.8216  0.5938 
   00039    0.4550   -1257.8281  0.6110 
   00040    0.4450   -1280.3022  0.6319 
   00041    0.3725   -1262.3239  0.6248 
   00042    0.3875   -1252.6883  0.6131 
   00043    0.4150   -1250.9602  0.6075 
   00044    0.3675   -1239.8081  0.6026 
   00045    0.4075   -1255.7325  0.6101 
   00046    0.4025   -1256.8220  0.6188 
   00047    0.3725   -1251.0143  0.6244 
   00048    0.3975   -1238.8427  0.6415 
   00049    0.4050   -1241.8038  0.6544 
   00050    0.3700   -1240.0193  0.6597 
   00051    0.3850   -1218.6555  0.6410 
   00052    0.4000   -1211.8565  0.6492 
   00053    0.3975   -1205.9191  0.6410 
   00054    0.4075   -1195.1079  0.6454 
   00055    0.4200   -1209.9650  0.6381 
   00056    0.4200   -1211.3870  0.6490 
   00057    0.3875   -1230.0847  0.6608 
   00058    0.3875   -1222.8773  0.6628 
   00059    0.4450   -1221.2062  0.6584 
   00060    0.3675   -1196.7254  0.6405 
   00061    0.4100   -1210.2645  0.6588 
   00062    0.4375   -1195.0082  0.6626 
   00063    0.4325   -1234.5855  0.6766 
   00064    0.4275   -1242.0394  0.6854 
   00065    0.4200   -1235.9422  0.6748 
   00066    0.4050   -1253.3469  0.6933 
   00067    0.4125   -1241.3492  0.6984 
   00068    0.4075   -1243.5280  0.6955 
   00069    0.4100   -1224.6404  0.6777 
   00070    0.3500   -1241.6595  0.6862 
   00071    0.3875   -1257.8912  0.6983 
   00072    0.4125   -1248.7966  0.6970 
   00073    0.3950   -1271.2403  0.6939 
   00074    0.4500   -1271.4090  0.6919 
   00075    0.3900   -1257.8182  0.6936 
   00076    0.3700   -1289.2744  0.7054 
   00077    0.3725   -1261.3821  0.7028 
   00078    0.4200   -1249.9126  0.6998 
   00079    0.3700   -1264.8510  0.6885 
   00080    0.4150   -1262.3559  0.6969 
   00081    0.4350   -1254.6410  0.7040 
   00082    0.4425   -1262.2710  0.7185 
   00083    0.4250   -1260.4733  0.7318 
   00084    0.4250   -1250.2443  0.7160 
   00085    0.3800   -1244.0948  0.7281 
   00086    0.4100   -1265.8364  0.7254 
   00087    0.3775   -1258.7437  0.7204 
   00088    0.3975   -1266.4430  0.7234 
   00089    0.3950   -1286.3202  0.7437 
   00090    0.3700   -1288.2657  0.7328 
   00091    0.4050   -1292.9239  0.7330 
   00092    0.3750   -1246.7936  0.6937 
   00093    0.4150   -1260.0130  0.7222 
   00094    0.4075   -1260.2436  0.7155 
   00095    0.4200   -1265.9090  0.7185 
   00096    0.4500   -1243.1986  0.7276 
   00097    0.4025   -1253.7669  0.7223 
   00098    0.5150   -1300.9002  0.7379 
   00099    0.4125   -1288.2414  0.7311 
   00100    0.3775   -1304.2648  0.7229 
   00101    0.3675   -1317.3141  0.7390 
   00102    0.3825   -1318.9820  0.7318 
   00103    0.3925   -1310.7777  0.7298 
   00104    0.3700   -1319.3409  0.7371 
