#=====================================================
# File created:        Sun-15-Feb-2026-at-03-35-31PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        3.518421
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -414.0668  0.2657 
   00001    0.6800    -652.1208  0.2771 
   00002    0.5875    -729.7843  0.2936 
   00003    0.5300    -816.5094  0.2801 
   00004    0.5050    -865.3029  0.3010 
   00005    0.4925    -906.6465  0.3198 
   00006    0.5250    -973.8474  0.3183 
   00007    0.4925   -1024.6712  0.3312 
   00008    0.5000   -1047.0984  0.3380 
   00009    0.4100   -1078.6254  0.3304 
   00010    0.4625   -1068.7009  0.3404 
   00011    0.4500   -1086.2301  0.3522 
   00012    0.4300   -1084.7278  0.3363 
   00013    0.4625   -1103.7590  0.3261 
   00014    0.4125   -1132.5068  0.3248 
   00015    0.4475   -1135.5562  0.3279 
   00016    0.4450   -1135.1871  0.3476 
   00017    0.4400   -1120.3576  0.3382 
   00018    0.4375   -1119.0851  0.3284 
   00019    0.4275   -1137.6755  0.3103 
   00020    0.4275   -1139.2447  0.3022 
   00021    0.4500   -1153.8835  0.2677 
   00022    0.4300   -1148.7978  0.2821 
   00023    0.4300   -1169.9187  0.2986 
   00024    0.4250   -1140.9842  0.3191 
   00025    0.4475   -1139.8713  0.3337 
   00026    0.4675   -1165.9430  0.3135 
   00027    0.4900   -1167.8617  0.3169 
   00028    0.4225   -1170.6354  0.2990 
   00029    0.4000   -1202.8456  0.3186 
   00030    0.3750   -1203.8729  0.3199 
   00031    0.4300   -1229.5737  0.3164 
   00032    0.4075   -1210.4573  0.3064 
   00033    0.4025   -1209.9737  0.3072 
   00034    0.4200   -1194.8158  0.3270 
   00035    0.4400   -1193.7756  0.3339 
   00036    0.4100   -1199.9946  0.3201 
   00037    0.4050   -1197.6702  0.3336 
   00038    0.4575   -1203.1291  0.3318 
   00039    0.4075   -1194.2292  0.3259 
   00040    0.4150   -1202.3518  0.3153 
   00041    0.4150   -1200.4478  0.3331 
   00042    0.4025   -1216.6707  0.3242 
   00043    0.3625   -1210.2189  0.3104 
   00044    0.4050   -1235.8229  0.3217 
   00045    0.3825   -1243.1440  0.3264 
   00046    0.3800   -1247.9152  0.3033 
   00047    0.4200   -1229.2471  0.2991 
   00048    0.3825   -1235.6645  0.2822 
   00049    0.4600   -1201.2143  0.2874 
   00050    0.4100   -1212.8637  0.3017 
   00051    0.4450   -1213.1567  0.3363 
   00052    0.4225   -1206.4269  0.3289 
   00053    0.3950   -1192.5990  0.3419 
   00054    0.4600   -1185.9060  0.3312 
   00055    0.4250   -1200.5697  0.3249 
   00056    0.4100   -1200.2422  0.3255 
   00057    0.4175   -1220.4792  0.3381 
   00058    0.4275   -1182.6256  0.3416 
   00059    0.4450   -1188.2618  0.3472 
   00060    0.3875   -1208.9183  0.3576 
   00061    0.4525   -1193.5680  0.3699 
   00062    0.3925   -1176.0381  0.3738 
   00063    0.4200   -1166.9845  0.3754 
   00064    0.4225   -1179.4936  0.3650 
   00065    0.4250   -1183.9353  0.3513 
   00066    0.4450   -1181.1309  0.3771 
   00067    0.4675   -1172.8034  0.3616 
   00068    0.4500   -1193.9419  0.3643 
   00069    0.4000   -1191.0627  0.3695 
   00070    0.4825   -1186.0403  0.3480 
   00071    0.3750   -1184.6558  0.3476 
   00072    0.4175   -1195.4941  0.3511 
   00073    0.4225   -1178.2291  0.3419 
   00074    0.4400   -1202.9748  0.3366 
   00075    0.4600   -1208.7936  0.3456 
   00076    0.3925   -1209.9979  0.3550 
   00077    0.4275   -1192.6231  0.3382 
   00078    0.3900   -1191.5344  0.3474 
   00079    0.4125   -1194.0683  0.3480 
   00080    0.4575   -1188.3338  0.3654 
   00081    0.4500   -1186.3731  0.3520 
   00082    0.4125   -1167.8148  0.3607 
   00083    0.5075   -1190.2325  0.3700 
   00084    0.4050   -1195.7935  0.3696 
   00085    0.4200   -1183.4645  0.3800 
   00086    0.4150   -1168.4061  0.3930 
   00087    0.3925   -1185.8325  0.3754 
   00088    0.4475   -1206.5970  0.3819 
   00089    0.4100   -1196.7968  0.3782 
   00090    0.4625   -1200.9605  0.3824 
   00091    0.4350   -1212.7353  0.3951 
   00092    0.4150   -1214.8989  0.3796 
   00093    0.3950   -1196.0334  0.3946 
   00094    0.4175   -1219.3507  0.3981 
   00095    0.4250   -1219.9647  0.4147 
   00096    0.4600   -1225.6748  0.4063 
   00097    0.4275   -1202.0791  0.3880 
   00098    0.4475   -1202.2569  0.3848 
   00099    0.4325   -1186.4465  0.3802 
   00100    0.4000   -1202.8289  0.3905 
   00101    0.4400   -1216.8667  0.4063 
   00102    0.4225   -1216.1741  0.4097 
   00103    0.4275   -1243.7019  0.4236 
   00104    0.3975   -1220.6529  0.4008 
   00105    0.4300   -1243.8152  0.4267 
   00106    0.4325   -1219.0937  0.4089 
   00107    0.3950   -1203.6241  0.4040 
   00108    0.4250   -1211.9001  0.3799 
   00109    0.4275   -1196.2514  0.3678 
   00110    0.4450   -1213.2246  0.3838 
   00111    0.4375   -1199.2958  0.3668 
   00112    0.3975   -1198.4213  0.3483 
   00113    0.4250   -1196.0552  0.3729 
   00114    0.4625   -1212.8497  0.3891 
   00115    0.4050   -1204.8694  0.3745 
   00116    0.4275   -1213.5236  0.3636 
   00117    0.4225   -1208.3365  0.3511 
   00118    0.4175   -1223.2898  0.3262 
   00119    0.3825   -1218.6681  0.3245 
   00120    0.4275   -1202.8796  0.3270 
   00121    0.4275   -1210.2970  0.3183 
   00122    0.4075   -1215.5667  0.3468 
   00123    0.4050   -1233.4261  0.3417 
   00124    0.4000   -1204.6056  0.3616 
   00125    0.3800   -1213.4051  0.3557 
   00126    0.4700   -1218.2136  0.3455 
   00127    0.4625   -1225.0003  0.3509 
   00128    0.4175   -1221.8137  0.3751 
   00129    0.4350   -1221.9820  0.4048 
   00130    0.3875   -1226.0786  0.3991 
   00131    0.3900   -1222.2910  0.3829 
   00132    0.4350   -1237.9669  0.3849 
   00133    0.4000   -1237.0878  0.3742 
   00134    0.4050   -1225.1783  0.3543 
   00135    0.3900   -1206.0296  0.3401 
   00136    0.3900   -1210.0943  0.3486 
   00137    0.4225   -1227.0549  0.3501 
   00138    0.4375   -1231.7512  0.3479 
   00139    0.3925   -1217.9157  0.3514 
   00140    0.4300   -1204.9662  0.3650 
   00141    0.4250   -1212.9647  0.3833 
   00142    0.4575   -1213.7990  0.3754 
   00143    0.4175   -1218.2300  0.4004 
   00144    0.4050   -1211.6203  0.3981 
   00145    0.3950   -1207.2418  0.3869 
   00146    0.4425   -1201.4334  0.3965 
   00147    0.4000   -1194.2773  0.3908 
   00148    0.3925   -1206.4281  0.4014 
   00149    0.4200   -1199.3348  0.3980 
   00150    0.4300   -1187.7994  0.3994 
   00151    0.4500   -1177.9086  0.3902 
   00152    0.4275   -1195.4545  0.3776 
   00153    0.4550   -1202.9600  0.3779 
   00154    0.4275   -1180.3582  0.3874 
   00155    0.3875   -1197.0662  0.4149 
   00156    0.4600   -1193.3505  0.4238 
   00157    0.4175   -1192.9768  0.4383 
   00158    0.4225   -1167.9672  0.4333 
   00159    0.4350   -1181.7400  0.4178 
   00160    0.4825   -1173.7901  0.4136 
   00161    0.4300   -1196.1128  0.4145 
   00162    0.4425   -1185.2816  0.4267 
   00163    0.4275   -1176.2358  0.4373 
   00164    0.4250   -1171.3350  0.4249 
   00165    0.4350   -1203.8099  0.3902 
   00166    0.4450   -1206.5885  0.3939 
   00167    0.4300   -1197.2803  0.4108 
   00168    0.4200   -1219.8545  0.4227 
   00169    0.3975   -1206.8424  0.4092 
   00170    0.4500   -1214.5537  0.4292 
   00171    0.3900   -1217.7562  0.4529 
   00172    0.4300   -1198.6937  0.4467 
   00173    0.3825   -1206.1709  0.4558 
   00174    0.3900   -1211.3529  0.4742 
   00175    0.4000   -1208.0628  0.4600 
   00176    0.4025   -1214.0282  0.4573 
   00177    0.4350   -1233.2062  0.4508 
   00178    0.4175   -1220.0394  0.4501 
   00179    0.4225   -1237.5001  0.4557 
   00180    0.4425   -1233.0697  0.4459 
   00181    0.4100   -1222.9189  0.4492 
   00182    0.3950   -1203.0154  0.4587 
   00183    0.4500   -1202.7377  0.4730 
   00184    0.4450   -1207.4673  0.4847 
   00185    0.4200   -1228.3604  0.5211 
   00186    0.3575   -1229.7803  0.5357 
   00187    0.4325   -1197.3361  0.5400 
   00188    0.4275   -1216.9701  0.5534 
   00189    0.4700   -1245.3761  0.5494 
   00190    0.4150   -1231.1021  0.5520 
   00191    0.4300   -1226.2979  0.5475 
   00192    0.4175   -1218.4970  0.5598 
   00193    0.4350   -1206.0726  0.5429 
   00194    0.3900   -1257.3415  0.5633 
   00195    0.4075   -1267.7834  0.5616 
   00196    0.4125   -1263.0985  0.5775 
   00197    0.4100   -1251.9197  0.5847 
   00198    0.4375   -1264.3268  0.5664 
   00199    0.3950   -1258.7722  0.5571 
   00200    0.3525   -1247.2664  0.5539 
   00201    0.3950   -1244.3416  0.5695 
   00202    0.4350   -1249.9935  0.5728 
   00203    0.3825   -1235.1281  0.5555 
   00204    0.4250   -1229.5152  0.5452 
   00205    0.4250   -1246.9962  0.5692 
   00206    0.3925   -1219.1440  0.5438 
   00207    0.4100   -1226.6883  0.5552 
   00208    0.3925   -1233.8410  0.5533 
   00209    0.3950   -1245.2439  0.5720 
   00210    0.4350   -1243.5453  0.5800 
   00211    0.4000   -1260.3614  0.5947 
   00212    0.3600   -1280.9190  0.5993 
   00213    0.3925   -1281.6413  0.6039 
   00214    0.4275   -1259.9777  0.6015 
   00215    0.4050   -1255.7056  0.5836 
   00216    0.3950   -1254.3239  0.6025 
   00217    0.3950   -1242.5146  0.6187 
   00218    0.4250   -1249.7348  0.6374 
   00219    0.3775   -1234.2772  0.6274 
   00220    0.3950   -1236.7915  0.6187 
   00221    0.4525   -1243.2942  0.6193 
   00222    0.3825   -1220.8483  0.6329 
   00223    0.4150   -1249.4263  0.6349 
   00224    0.4100   -1251.5960  0.6359 
   00225    0.4250   -1260.3956  0.6424 
   00226    0.3950   -1255.7076  0.6616 
   00227    0.4375   -1247.8729  0.6679 
   00228    0.4225   -1259.4570  0.6622 
   00229    0.3525   -1287.1793  0.6747 
   00230    0.4175   -1285.4564  0.6741 
   00231    0.4350   -1286.6273  0.6771 
   00232    0.4000   -1258.4126  0.6769 
   00233    0.4375   -1255.3189  0.6701 
   00234    0.3475   -1259.6140  0.6784 
   00235    0.3875   -1291.1235  0.6875 
   00236    0.4125   -1281.4519  0.6811 
   00237    0.4300   -1271.8461  0.6885 
   00238    0.4300   -1279.4297  0.6980 
   00239    0.3550   -1281.3830  0.6886 
   00240    0.4350   -1303.5604  0.7028 
   00241    0.4125   -1288.1173  0.7051 
   00242    0.4175   -1275.8617  0.7106 
   00243    0.3900   -1267.1118  0.7010 
   00244    0.4075   -1257.7103  0.7032 
   00245    0.3825   -1266.0330  0.6975 
   00246    0.4350   -1240.1629  0.6922 
   00247    0.3950   -1254.0599  0.6866 
   00248    0.4300   -1272.8856  0.6940 
   00249    0.4250   -1268.9712  0.6988 
   00250    0.3950   -1279.7000  0.7105 
   00251    0.4200   -1286.8515  0.7153 
   00252    0.3750   -1294.3052  0.7216 
   00253    0.3900   -1285.6360  0.7201 
   00254    0.3800   -1286.8362  0.7298 
   00255    0.3850   -1280.7769  0.7186 
   00256    0.4125   -1282.0759  0.7271 
   00257    0.4250   -1292.7611  0.7333 
   00258    0.3625   -1291.7459  0.7518 
   00259    0.3900   -1295.9201  0.7495 
   00260    0.3900   -1300.0375  0.7576 
   00261    0.3575   -1290.7537  0.7489 
   00262    0.4100   -1265.1904  0.7310 
   00263    0.4050   -1276.5593  0.7395 
   00264    0.4250   -1283.4331  0.7406 
   00265    0.4200   -1264.4740  0.7133 
   00266    0.3950   -1247.8395  0.7201 
   00267    0.4200   -1235.4720  0.7234 
   00268    0.3925   -1244.7320  0.7367 
   00269    0.4425   -1228.9981  0.7313 
   00270    0.3700   -1229.9887  0.7378 
   00271    0.3800   -1244.6909  0.7415 
   00272    0.4100   -1264.6220  0.7601 
   00273    0.3950   -1280.5000  0.7576 
   00274    0.3850   -1291.5275  0.7666 
   00275    0.4000   -1302.3658  0.7669 
   00276    0.3750   -1291.4842  0.7738 
   00277    0.4075   -1292.4361  0.7712 
   00278    0.4375   -1312.1025  0.7673 
   00279    0.3750   -1280.9780  0.7641 
   00280    0.3725   -1289.7027  0.7762 
   00281    0.4200   -1304.6014  0.7755 
   00282    0.3600   -1306.2187  0.7827 
   00283    0.3700   -1312.9619  0.7877 
   00284    0.4200   -1302.7066  0.7866 
   00285    0.4175   -1306.9767  0.7839 
   00286    0.4050   -1299.6236  0.7846 
   00287    0.4075   -1287.0407  0.7733 
   00288    0.3725   -1278.9653  0.7679 
   00289    0.4050   -1269.0004  0.7552 
   00290    0.4250   -1274.3045  0.7396 
   00291    0.3850   -1261.2692  0.7469 
