#=====================================================
# File created:        Mon-16-Feb-2026-at-01-37-56PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        -0.151229
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -353.7337  0.2928 
   00001    0.6625    -577.0494  0.3049 
   00002    0.6175    -712.4336  0.2904 
   00003    0.5375    -764.7086  0.3001 
   00004    0.5900    -849.6718  0.3250 
   00005    0.5050    -902.2205  0.3459 
   00006    0.4550    -922.8029  0.3358 
   00007    0.5050    -926.3667  0.3148 
   00008    0.4850    -963.3056  0.3275 
   00009    0.4775   -1003.0322  0.3197 
   00010    0.4875   -1042.1831  0.3215 
   00011    0.4700   -1044.9894  0.3262 
   00012    0.4650   -1050.0769  0.3187 
   00013    0.4525   -1069.7187  0.3234 
   00014    0.4825   -1080.8103  0.3423 
   00015    0.4500   -1106.5888  0.3292 
   00016    0.4525   -1109.0537  0.3250 
   00017    0.4550   -1119.2975  0.3258 
   00018    0.4500   -1134.3348  0.3171 
   00019    0.4400   -1121.9743  0.3421 
   00020    0.4450   -1114.0729  0.3266 
   00021    0.4375   -1107.9266  0.2908 
   00022    0.4825   -1121.8061  0.3143 
   00023    0.4025   -1137.7024  0.2901 
   00024    0.4650   -1119.6220  0.2966 
   00025    0.4475   -1123.5485  0.3143 
   00026    0.3975   -1113.1347  0.3231 
   00027    0.4700   -1102.3375  0.3194 
   00028    0.4650   -1113.8596  0.3338 
   00029    0.4600   -1129.6444  0.3349 
   00030    0.4150   -1104.5069  0.3057 
   00031    0.4850   -1106.5238  0.3065 
   00032    0.4300   -1113.5366  0.3190 
   00033    0.4500   -1111.2312  0.3199 
   00034    0.4600   -1104.2714  0.3228 
   00035    0.5125   -1110.0969  0.3296 
   00036    0.4375   -1099.4239  0.3464 
   00037    0.4100   -1117.5609  0.3854 
   00038    0.4625   -1130.0309  0.3607 
   00039    0.3950   -1147.0063  0.3639 
   00040    0.4425   -1136.1523  0.3486 
   00041    0.4350   -1177.2239  0.3359 
   00042    0.4375   -1180.5396  0.3598 
   00043    0.3975   -1189.9430  0.3687 
   00044    0.4175   -1195.0335  0.3566 
   00045    0.4150   -1188.9478  0.3553 
   00046    0.4425   -1188.7979  0.3244 
   00047    0.3950   -1189.3970  0.3199 
   00048    0.4575   -1180.7077  0.3357 
   00049    0.4425   -1160.6014  0.3258 
   00050    0.4200   -1160.9594  0.3469 
   00051    0.4375   -1161.3838  0.3618 
   00052    0.4550   -1136.6018  0.3372 
   00053    0.4550   -1142.6581  0.3362 
   00054    0.5150   -1145.5750  0.3355 
   00055    0.4200   -1166.3310  0.3304 
   00056    0.4200   -1152.0717  0.3175 
   00057    0.4150   -1153.0737  0.3112 
   00058    0.4400   -1167.5029  0.3059 
   00059    0.4675   -1188.1295  0.3083 
   00060    0.4050   -1180.6624  0.3149 
   00061    0.4375   -1164.9292  0.2921 
   00062    0.4300   -1197.4484  0.2627 
   00063    0.4100   -1183.1080  0.2690 
   00064    0.4075   -1176.0414  0.2710 
   00065    0.4100   -1176.9749  0.2826 
   00066    0.3900   -1197.4683  0.2843 
   00067    0.4025   -1192.6210  0.3002 
   00068    0.4500   -1174.0009  0.2918 
   00069    0.4450   -1153.0986  0.2899 
   00070    0.4300   -1182.6746  0.3081 
   00071    0.4250   -1165.0068  0.3166 
   00072    0.4800   -1160.9209  0.3073 
   00073    0.4450   -1160.4297  0.3248 
   00074    0.4375   -1135.5260  0.3327 
   00075    0.4650   -1169.8783  0.3551 
   00076    0.4225   -1183.8530  0.3508 
   00077    0.4050   -1205.7979  0.3599 
   00078    0.4500   -1179.8888  0.3687 
   00079    0.4400   -1189.2949  0.3709 
   00080    0.4325   -1191.2276  0.3852 
   00081    0.3925   -1188.6193  0.3884 
   00082    0.4000   -1204.9138  0.3651 
   00083    0.4225   -1189.1410  0.3543 
   00084    0.3900   -1230.9604  0.3435 
   00085    0.4200   -1241.0051  0.3542 
   00086    0.4300   -1266.7856  0.3552 
   00087    0.4275   -1257.9238  0.3601 
   00088    0.3850   -1240.9546  0.3677 
   00089    0.4325   -1231.3614  0.3532 
   00090    0.4225   -1225.7120  0.3622 
   00091    0.4350   -1204.8628  0.3521 
   00092    0.4200   -1241.0240  0.3620 
   00093    0.3850   -1237.8397  0.3660 
   00094    0.4150   -1214.6319  0.3729 
   00095    0.4250   -1203.0876  0.3690 
   00096    0.4200   -1219.0136  0.3826 
   00097    0.4125   -1205.0069  0.3788 
   00098    0.4450   -1209.2610  0.3702 
   00099    0.4525   -1231.6881  0.3567 
   00100    0.4200   -1211.8599  0.3397 
   00101    0.4175   -1216.8413  0.3485 
   00102    0.3850   -1198.7167  0.3352 
   00103    0.4275   -1187.2677  0.3496 
   00104    0.4000   -1159.9681  0.3328 
   00105    0.4150   -1169.8808  0.3275 
   00106    0.4425   -1180.3454  0.3093 
   00107    0.4075   -1154.6074  0.3047 
   00108    0.3875   -1142.6129  0.3156 
   00109    0.4525   -1169.0051  0.3275 
   00110    0.4075   -1180.2425  0.3272 
   00111    0.4675   -1164.0553  0.3210 
   00112    0.4425   -1168.4187  0.3177 
   00113    0.4300   -1196.9592  0.3232 
   00114    0.3875   -1192.6489  0.3212 
   00115    0.4075   -1174.1748  0.3192 
   00116    0.4550   -1190.2426  0.3329 
   00117    0.4300   -1190.8023  0.3189 
   00118    0.4625   -1207.7973  0.3303 
   00119    0.4425   -1224.1772  0.3337 
   00120    0.4400   -1245.4424  0.3234 
   00121    0.4150   -1254.5916  0.3296 
   00122    0.3875   -1252.5489  0.3371 
   00123    0.4400   -1207.4871  0.3389 
   00124    0.4650   -1215.0726  0.3452 
   00125    0.4025   -1219.8023  0.3405 
   00126    0.4275   -1197.3800  0.3333 
   00127    0.3975   -1232.3279  0.3446 
   00128    0.3850   -1245.0424  0.3512 
   00129    0.3525   -1244.2396  0.3619 
   00130    0.4475   -1260.9402  0.3781 
   00131    0.4075   -1244.6109  0.3813 
   00132    0.3950   -1232.8639  0.3828 
   00133    0.3850   -1227.9910  0.3873 
   00134    0.4100   -1208.2898  0.3998 
   00135    0.4150   -1239.9074  0.4002 
   00136    0.4175   -1223.1142  0.3980 
   00137    0.4350   -1211.0128  0.3827 
   00138    0.3975   -1236.2726  0.3930 
   00139    0.4525   -1241.4611  0.3987 
   00140    0.4250   -1232.8456  0.3986 
   00141    0.3675   -1247.0586  0.4251 
   00142    0.3825   -1267.6153  0.4280 
   00143    0.3800   -1263.6545  0.4447 
   00144    0.4425   -1228.8985  0.4495 
   00145    0.4575   -1237.7337  0.4291 
   00146    0.4325   -1239.2444  0.4342 
   00147    0.3500   -1208.9599  0.4479 
   00148    0.4025   -1185.0965  0.4650 
   00149    0.4150   -1172.6973  0.4718 
   00150    0.4450   -1198.5399  0.4800 
   00151    0.4050   -1204.8289  0.4887 
   00152    0.4250   -1205.7794  0.5069 
   00153    0.4225   -1223.9959  0.5054 
   00154    0.3925   -1236.7363  0.5115 
   00155    0.4200   -1208.1697  0.5137 
   00156    0.4425   -1216.0077  0.5269 
   00157    0.4500   -1208.4212  0.5062 
   00158    0.4175   -1216.8693  0.5080 
   00159    0.4225   -1204.3477  0.5297 
   00160    0.4600   -1201.0604  0.5274 
   00161    0.4175   -1210.7485  0.5431 
   00162    0.4575   -1196.6635  0.5279 
   00163    0.3750   -1202.1335  0.5321 
   00164    0.4125   -1170.4989  0.5208 
   00165    0.4225   -1194.0383  0.5026 
   00166    0.4150   -1211.9825  0.5289 
   00167    0.4300   -1210.4149  0.5079 
   00168    0.4125   -1204.5117  0.4954 
   00169    0.4475   -1217.1842  0.4901 
   00170    0.4200   -1201.6171  0.4909 
   00171    0.3900   -1195.1605  0.4778 
   00172    0.3800   -1196.8020  0.4953 
   00173    0.4150   -1184.7151  0.4969 
   00174    0.4275   -1212.5818  0.5094 
   00175    0.4150   -1197.8590  0.5189 
   00176    0.4450   -1209.5157  0.5336 
   00177    0.4025   -1220.1359  0.5477 
   00178    0.3825   -1222.5155  0.5564 
   00179    0.4400   -1266.2956  0.5617 
   00180    0.4025   -1258.1441  0.5598 
   00181    0.4150   -1257.7565  0.5904 
   00182    0.3875   -1252.8780  0.5834 
   00183    0.3800   -1271.6377  0.5878 
   00184    0.3925   -1253.7488  0.5822 
   00185    0.4575   -1254.7692  0.5875 
   00186    0.4000   -1234.0569  0.5676 
   00187    0.4175   -1253.7642  0.5671 
   00188    0.3925   -1252.2387  0.5624 
   00189    0.4375   -1257.4090  0.5634 
   00190    0.4150   -1251.0977  0.5635 
   00191    0.4175   -1252.0916  0.5670 
   00192    0.4375   -1243.7249  0.5636 
   00193    0.4075   -1228.5007  0.5619 
   00194    0.4325   -1235.3236  0.5610 
   00195    0.4125   -1235.5314  0.5802 
   00196    0.3875   -1238.8915  0.5889 
   00197    0.4275   -1228.3063  0.5798 
   00198    0.4025   -1254.6050  0.5751 
   00199    0.3550   -1249.7980  0.5779 
   00200    0.3625   -1267.7107  0.5829 
   00201    0.4500   -1242.0596  0.5790 
   00202    0.4125   -1232.9414  0.5701 
   00203    0.4325   -1212.8759  0.5440 
   00204    0.3825   -1219.9262  0.5512 
   00205    0.3625   -1231.9891  0.5494 
   00206    0.3525   -1221.2295  0.5536 
   00207    0.4175   -1231.6317  0.5486 
   00208    0.4300   -1239.6744  0.5480 
   00209    0.3700   -1226.6800  0.5513 
   00210    0.4300   -1240.1911  0.5657 
   00211    0.3775   -1253.1865  0.5767 
   00212    0.4025   -1245.8463  0.5818 
   00213    0.4100   -1241.2594  0.5817 
   00214    0.3825   -1250.9417  0.5707 
   00215    0.3900   -1222.6625  0.5825 
   00216    0.4100   -1241.1749  0.5897 
   00217    0.3775   -1246.9689  0.5822 
   00218    0.4675   -1262.3547  0.5826 
   00219    0.4125   -1260.2727  0.5696 
   00220    0.4425   -1232.8155  0.5526 
   00221    0.3975   -1218.4101  0.5436 
   00222    0.4000   -1203.1292  0.5327 
   00223    0.4300   -1198.0693  0.5388 
   00224    0.4000   -1198.1754  0.5476 
   00225    0.4850   -1216.0767  0.5303 
   00226    0.3775   -1224.0944  0.5106 
   00227    0.4000   -1217.2257  0.4984 
   00228    0.4700   -1177.0922  0.4862 
   00229    0.4125   -1200.7909  0.4884 
   00230    0.4125   -1212.1161  0.5064 
   00231    0.3975   -1213.8419  0.5125 
   00232    0.3800   -1236.2552  0.5235 
   00233    0.4150   -1261.0384  0.5132 
   00234    0.4150   -1270.4950  0.5106 
   00235    0.4325   -1262.6241  0.4877 
   00236    0.4100   -1253.8024  0.5010 
   00237    0.3950   -1253.7015  0.4979 
   00238    0.3925   -1284.6186  0.5255 
   00239    0.4250   -1296.8779  0.5604 
   00240    0.3925   -1286.0792  0.5676 
   00241    0.4125   -1290.4958  0.5634 
   00242    0.4175   -1293.1484  0.5439 
   00243    0.3975   -1285.7275  0.5459 
   00244    0.4150   -1275.5492  0.5455 
   00245    0.4250   -1259.7607  0.5463 
   00246    0.4100   -1260.2096  0.5663 
   00247    0.3775   -1258.2269  0.5561 
   00248    0.4200   -1250.0478  0.5472 
   00249    0.3800   -1258.9246  0.5621 
   00250    0.4025   -1244.3291  0.5680 
   00251    0.4275   -1280.7751  0.5843 
   00252    0.3800   -1243.9607  0.5724 
   00253    0.4475   -1269.6795  0.5627 
   00254    0.4000   -1259.4425  0.5584 
   00255    0.3900   -1250.2331  0.5642 
   00256    0.4050   -1259.1807  0.5459 
   00257    0.4175   -1237.6364  0.5437 
   00258    0.3725   -1247.9941  0.5459 
   00259    0.3975   -1258.5386  0.5365 
   00260    0.3975   -1247.3847  0.5085 
   00261    0.3975   -1244.7911  0.5013 
   00262    0.4250   -1232.1149  0.4845 
   00263    0.4275   -1243.1508  0.4786 
   00264    0.3925   -1234.8424  0.4909 
   00265    0.4200   -1248.2887  0.4828 
   00266    0.4325   -1265.4533  0.4906 
   00267    0.4250   -1259.5961  0.4671 
   00268    0.4025   -1252.4795  0.4653 
   00269    0.4375   -1266.6194  0.4566 
   00270    0.3900   -1277.4571  0.4544 
   00271    0.4500   -1266.0204  0.4584 
