#=====================================================
# File created:        Mon-16-Feb-2026-at-01-38-13PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        2.749579
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -360.3649  0.2682 
   00001    0.7175    -605.3548  0.3022 
   00002    0.5775    -710.0142  0.2937 
   00003    0.5800    -766.2956  0.3021 
   00004    0.5475    -841.4507  0.2959 
   00005    0.5275    -875.8587  0.3223 
   00006    0.5375    -902.8225  0.3146 
   00007    0.4700    -945.2412  0.3110 
   00008    0.5350    -958.0638  0.3083 
   00009    0.4725    -966.8717  0.2976 
   00010    0.5225    -998.4164  0.3053 
   00011    0.4725   -1040.4248  0.3168 
   00012    0.4550   -1061.8411  0.3172 
   00013    0.4725   -1071.3587  0.3226 
   00014    0.4475   -1086.1315  0.3142 
   00015    0.4825   -1102.9162  0.3117 
   00016    0.4375   -1132.7403  0.3083 
   00017    0.4550   -1139.5245  0.3169 
   00018    0.4075   -1140.1136  0.3188 
   00019    0.4500   -1141.5750  0.3129 
   00020    0.4750   -1145.2518  0.3160 
   00021    0.4475   -1156.4176  0.3234 
   00022    0.4375   -1141.1402  0.3444 
   00023    0.4225   -1115.1765  0.3173 
   00024    0.4225   -1112.8986  0.3274 
   00025    0.4575   -1136.5277  0.3301 
   00026    0.4450   -1141.8651  0.3378 
   00027    0.4225   -1141.2587  0.3187 
   00028    0.4450   -1161.8323  0.3493 
   00029    0.4400   -1139.8697  0.3558 
   00030    0.4325   -1151.5532  0.3514 
   00031    0.4050   -1180.5786  0.3595 
   00032    0.4275   -1159.7430  0.3440 
   00033    0.4200   -1159.6884  0.3381 
   00034    0.4275   -1167.9519  0.3442 
   00035    0.4325   -1166.4915  0.3373 
   00036    0.4650   -1166.8410  0.3709 
   00037    0.4050   -1142.9436  0.3776 
   00038    0.4175   -1135.9070  0.3783 
   00039    0.4425   -1139.5481  0.4052 
   00040    0.4450   -1160.7624  0.3880 
   00041    0.4300   -1159.1941  0.4173 
   00042    0.4100   -1169.4380  0.3981 
   00043    0.4550   -1179.3870  0.4017 
   00044    0.4175   -1195.4906  0.3889 
   00045    0.3775   -1170.5393  0.4013 
   00046    0.4350   -1192.3300  0.3868 
   00047    0.4450   -1195.0542  0.4038 
   00048    0.4025   -1194.5035  0.4043 
   00049    0.4425   -1183.0823  0.4002 
   00050    0.4375   -1174.4421  0.4218 
   00051    0.4025   -1188.4765  0.4297 
   00052    0.4275   -1195.8764  0.4451 
   00053    0.4250   -1217.7927  0.4498 
   00054    0.3975   -1206.1161  0.4476 
   00055    0.4150   -1183.8552  0.4602 
   00056    0.4125   -1164.0874  0.4344 
   00057    0.4325   -1181.1271  0.4260 
   00058    0.3975   -1182.1336  0.4222 
   00059    0.4000   -1189.5400  0.4209 
   00060    0.4425   -1212.4507  0.4311 
   00061    0.4375   -1206.8441  0.4352 
   00062    0.4100   -1211.6842  0.4276 
   00063    0.4175   -1199.3408  0.4271 
   00064    0.4425   -1218.1637  0.4262 
   00065    0.4550   -1229.7591  0.4304 
   00066    0.4175   -1223.9575  0.4008 
   00067    0.3900   -1242.0943  0.3953 
   00068    0.4150   -1240.4060  0.3891 
   00069    0.4150   -1214.5510  0.4122 
   00070    0.3750   -1246.7203  0.4172 
   00071    0.4350   -1240.5736  0.4222 
   00072    0.4350   -1250.3531  0.4236 
   00073    0.3675   -1239.9334  0.4207 
   00074    0.4250   -1268.8901  0.4188 
   00075    0.4375   -1268.7347  0.4181 
   00076    0.4050   -1262.2099  0.4119 
   00077    0.4350   -1229.9969  0.3979 
   00078    0.4000   -1206.6308  0.4033 
   00079    0.4050   -1228.1851  0.3721 
   00080    0.3925   -1241.7336  0.3511 
   00081    0.4500   -1273.5749  0.3538 
   00082    0.4200   -1268.4901  0.3614 
   00083    0.4050   -1233.8608  0.3756 
   00084    0.3975   -1210.6353  0.3663 
   00085    0.4350   -1208.9586  0.3626 
   00086    0.3725   -1215.1565  0.3588 
   00087    0.4175   -1233.9763  0.3655 
   00088    0.4400   -1211.9762  0.3484 
   00089    0.4325   -1209.3691  0.3577 
   00090    0.4100   -1221.9786  0.3545 
   00091    0.3950   -1193.4077  0.3585 
   00092    0.4275   -1170.0305  0.3549 
   00093    0.4350   -1177.2095  0.3368 
   00094    0.4300   -1174.3285  0.3323 
