#=====================================================
# File created:        Tue-17-Feb-2026-at-11-03-12AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        1.937557
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -370.4990  0.2872 
   00001    0.7000    -580.6947  0.3128 
   00002    0.6250    -722.9012  0.3558 
   00003    0.5850    -838.0574  0.3600 
   00004    0.5325    -899.7988  0.3663 
   00005    0.4950    -955.1333  0.3672 
   00006    0.4975    -989.0799  0.3690 
   00007    0.4800   -1000.2418  0.4059 
   00008    0.4425   -1040.7957  0.3961 
   00009    0.4550   -1059.4906  0.3773 
   00010    0.4750   -1045.5126  0.3972 
   00011    0.5325   -1064.4170  0.3756 
   00012    0.4275   -1080.9987  0.3864 
   00013    0.4575   -1088.5278  0.3808 
   00014    0.4775   -1081.4053  0.3948 
   00015    0.4625   -1106.1371  0.3798 
   00016    0.4925   -1123.9597  0.3876 
   00017    0.4425   -1130.3380  0.4056 
   00018    0.4475   -1174.8547  0.4154 
   00019    0.4075   -1164.0034  0.4308 
   00020    0.4325   -1162.4723  0.4188 
   00021    0.4600   -1150.4868  0.4052 
   00022    0.4150   -1148.2441  0.4288 
   00023    0.4775   -1125.8229  0.4075 
   00024    0.4550   -1140.6995  0.4079 
   00025    0.4350   -1160.8933  0.4071 
   00026    0.4575   -1145.3836  0.3964 
   00027    0.4575   -1150.9202  0.3954 
   00028    0.3925   -1141.7171  0.3982 
   00029    0.4300   -1138.5875  0.3881 
   00030    0.4575   -1130.7656  0.3656 
   00031    0.4050   -1119.0432  0.3681 
   00032    0.4625   -1118.8978  0.3863 
   00033    0.4475   -1115.7583  0.3825 
   00034    0.4450   -1141.1645  0.3736 
   00035    0.4725   -1132.0141  0.3851 
   00036    0.3950   -1122.3105  0.3857 
   00037    0.4525   -1147.0358  0.3866 
   00038    0.4100   -1157.4863  0.3833 
   00039    0.4200   -1134.7492  0.3731 
   00040    0.4775   -1144.0557  0.3550 
   00041    0.3900   -1144.0600  0.3687 
   00042    0.4525   -1136.2283  0.3737 
   00043    0.4600   -1121.7762  0.3524 
   00044    0.4475   -1126.1367  0.3691 
   00045    0.4625   -1126.1795  0.3721 
   00046    0.4125   -1137.8533  0.3627 
   00047    0.4450   -1152.9579  0.3499 
   00048    0.4350   -1157.1465  0.3615 
   00049    0.4450   -1163.7899  0.3558 
   00050    0.4525   -1168.8072  0.3581 
   00051    0.4475   -1177.3975  0.3671 
   00052    0.4600   -1191.2753  0.3771 
   00053    0.3950   -1180.6824  0.3672 
   00054    0.4525   -1176.6408  0.3747 
   00055    0.4200   -1181.1459  0.3773 
   00056    0.4375   -1198.4654  0.3760 
   00057    0.4375   -1166.0633  0.3714 
   00058    0.4475   -1159.1288  0.3470 
   00059    0.4400   -1150.5156  0.3342 
   00060    0.3825   -1154.9334  0.3374 
   00061    0.4675   -1136.7763  0.3254 
   00062    0.4775   -1136.7593  0.3232 
   00063    0.4550   -1132.3688  0.3032 
   00064    0.4300   -1161.3778  0.2971 
   00065    0.4150   -1160.1547  0.2841 
   00066    0.4225   -1161.2500  0.3136 
   00067    0.4100   -1154.0203  0.3120 
   00068    0.4625   -1159.1494  0.3110 
   00069    0.4525   -1145.3334  0.3345 
   00070    0.4300   -1155.0287  0.3420 
   00071    0.4675   -1183.4040  0.3510 
   00072    0.4700   -1166.6374  0.3551 
   00073    0.4200   -1174.7830  0.3693 
   00074    0.3800   -1181.9194  0.3645 
   00075    0.4800   -1166.3259  0.3634 
   00076    0.4400   -1168.4405  0.3802 
   00077    0.3925   -1181.9247  0.4054 
   00078    0.4200   -1172.8719  0.4074 
   00079    0.4050   -1196.3258  0.4192 
   00080    0.4625   -1166.9051  0.4196 
   00081    0.4075   -1183.6828  0.4068 
   00082    0.4225   -1173.9746  0.3935 
   00083    0.4200   -1147.7631  0.3989 
   00084    0.4375   -1153.5388  0.3952 
   00085    0.3975   -1169.8000  0.3811 
   00086    0.4575   -1161.9193  0.3836 
   00087    0.4400   -1172.5882  0.3608 
   00088    0.4200   -1178.9957  0.3567 
   00089    0.3950   -1175.3366  0.3487 
   00090    0.4150   -1187.7046  0.3742 
   00091    0.4225   -1189.0027  0.3534 
   00092    0.4250   -1206.2955  0.3465 
   00093    0.4100   -1188.4018  0.3582 
   00094    0.4025   -1188.2356  0.3528 
   00095    0.4500   -1179.4874  0.3620 
   00096    0.4700   -1169.8337  0.3773 
   00097    0.4350   -1153.1750  0.3778 
   00098    0.4375   -1169.4516  0.3768 
   00099    0.4375   -1177.4386  0.3865 
   00100    0.3625   -1175.9771  0.3585 
   00101    0.4225   -1191.8688  0.3483 
   00102    0.4175   -1171.0990  0.3538 
   00103    0.4425   -1180.6315  0.3394 
   00104    0.4525   -1197.1578  0.3577 
   00105    0.4400   -1180.8246  0.3464 
   00106    0.4575   -1168.6467  0.3597 
   00107    0.4050   -1161.7014  0.3479 
   00108    0.3950   -1162.2295  0.3576 
   00109    0.4450   -1154.9077  0.3339 
   00110    0.4575   -1155.5390  0.3241 
   00111    0.4325   -1192.5724  0.3263 
   00112    0.4175   -1176.2602  0.3248 
   00113    0.4075   -1176.2021  0.3284 
   00114    0.4200   -1186.2456  0.3359 
   00115    0.4275   -1175.9135  0.3298 
   00116    0.4425   -1160.8000  0.3605 
   00117    0.4225   -1188.6239  0.3716 
   00118    0.4025   -1198.6819  0.3938 
   00119    0.4250   -1176.5844  0.3989 
   00120    0.4000   -1187.0561  0.4056 
   00121    0.4650   -1218.8993  0.4292 
   00122    0.4125   -1204.1139  0.4286 
   00123    0.4250   -1206.7895  0.4308 
   00124    0.3900   -1206.2934  0.4385 
   00125    0.4200   -1215.2995  0.4385 
   00126    0.4400   -1191.3843  0.4381 
   00127    0.4425   -1181.5520  0.4355 
   00128    0.4425   -1196.7505  0.4296 
   00129    0.4175   -1173.4718  0.4256 
   00130    0.4075   -1150.8543  0.4438 
   00131    0.4500   -1138.3574  0.4621 
   00132    0.4000   -1138.4675  0.4651 
   00133    0.4475   -1167.6224  0.4739 
   00134    0.4200   -1194.6201  0.4902 
   00135    0.4450   -1205.3006  0.4855 
   00136    0.3850   -1216.4107  0.4857 
   00137    0.3950   -1204.3310  0.4814 
   00138    0.3775   -1213.3643  0.4971 
   00139    0.3950   -1222.5197  0.4857 
   00140    0.3850   -1228.5059  0.4922 
   00141    0.4525   -1227.1056  0.4895 
   00142    0.4025   -1213.8732  0.4990 
   00143    0.4700   -1247.5770  0.5139 
   00144    0.4675   -1211.7935  0.5150 
   00145    0.4250   -1189.0822  0.5248 
   00146    0.4075   -1200.2352  0.5378 
   00147    0.4500   -1223.0135  0.5377 
   00148    0.4275   -1199.3062  0.5244 
   00149    0.4300   -1212.9344  0.5164 
   00150    0.4150   -1224.7565  0.5123 
   00151    0.4550   -1220.4143  0.5152 
   00152    0.4575   -1228.5711  0.5299 
   00153    0.4275   -1238.0821  0.5357 
   00154    0.4000   -1252.5476  0.5353 
   00155    0.3900   -1250.2230  0.5247 
   00156    0.3925   -1240.9937  0.5059 
   00157    0.3925   -1223.3923  0.5081 
   00158    0.3950   -1236.0143  0.5069 
   00159    0.4025   -1243.6435  0.5177 
   00160    0.4525   -1229.9141  0.5179 
   00161    0.4025   -1247.3252  0.5218 
   00162    0.3950   -1234.7027  0.5157 
   00163    0.4575   -1209.8149  0.5090 
   00164    0.4200   -1212.4019  0.5321 
   00165    0.4025   -1235.4019  0.5280 
   00166    0.4175   -1229.4235  0.5314 
   00167    0.3800   -1233.7994  0.5190 
   00168    0.4350   -1225.1433  0.5089 
   00169    0.4500   -1265.3604  0.5180 
   00170    0.4525   -1251.1832  0.5235 
   00171    0.4175   -1227.7134  0.5177 
   00172    0.3850   -1237.4086  0.5367 
   00173    0.4000   -1262.7289  0.5442 
   00174    0.4150   -1246.8629  0.5437 
   00175    0.4275   -1239.1962  0.5689 
   00176    0.4425   -1222.4740  0.5628 
   00177    0.4575   -1214.3525  0.5695 
   00178    0.4150   -1238.8256  0.5863 
   00179    0.4075   -1248.9178  0.6076 
   00180    0.4200   -1270.0682  0.6051 
   00181    0.3925   -1295.9120  0.6231 
