#=====================================================
# File created:        Sun-01-Mar-2026-at-11-53-02AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        1.965198
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -387.7025  0.3167 
   00001    0.6900    -639.7212  0.3750 
   00002    0.6075    -732.7249  0.3937 
   00003    0.5525    -765.0718  0.4051 
   00004    0.5900    -820.1176  0.4205 
   00005    0.5725    -885.7129  0.4507 
   00006    0.5300    -946.3967  0.4542 
   00007    0.5150    -975.5514  0.4595 
   00008    0.5225   -1023.1886  0.4515 
   00009    0.4600   -1057.0215  0.4683 
   00010    0.4725   -1090.5589  0.4739 
   00011    0.4525   -1107.0082  0.4928 
   00012    0.4325   -1120.1993  0.5052 
   00013    0.4425   -1117.4265  0.5080 
   00014    0.4350   -1158.0842  0.5176 
   00015    0.4425   -1143.3810  0.5325 
   00016    0.4325   -1129.9383  0.5288 
   00017    0.4500   -1126.9086  0.5220 
   00018    0.4550   -1160.2874  0.5298 
   00019    0.4675   -1147.4308  0.5258 
   00020    0.4425   -1187.6175  0.5505 
   00021    0.4150   -1212.2213  0.5667 
   00022    0.4550   -1169.4538  0.5531 
   00023    0.4200   -1166.5888  0.5613 
   00024    0.4275   -1164.0453  0.5518 
   00025    0.4500   -1169.2557  0.5269 
   00026    0.4475   -1185.6572  0.5350 
   00027    0.4400   -1188.9706  0.5423 
   00028    0.4300   -1212.7777  0.5402 
   00029    0.4175   -1217.6099  0.5564 
   00030    0.3950   -1239.4161  0.5488 
   00031    0.3900   -1231.1528  0.5693 
   00032    0.4125   -1232.8457  0.5807 
   00033    0.3850   -1204.0966  0.5744 
   00034    0.4350   -1212.0988  0.5773 
   00035    0.4375   -1210.4162  0.5665 
   00036    0.4025   -1218.5593  0.5692 
   00037    0.4325   -1198.0737  0.5851 
   00038    0.4400   -1233.9279  0.5939 
   00039    0.4100   -1234.6520  0.6038 
   00040    0.4175   -1225.4152  0.6012 
   00041    0.4425   -1193.1719  0.6066 
   00042    0.4250   -1167.1372  0.5954 
   00043    0.4725   -1182.2381  0.6109 
   00044    0.4075   -1183.7982  0.6228 
   00045    0.4425   -1184.5373  0.6217 
   00046    0.4450   -1171.7666  0.6026 
   00047    0.4600   -1158.8384  0.5826 
   00048    0.4325   -1172.3470  0.5666 
   00049    0.4000   -1153.4152  0.5798 
   00050    0.4175   -1169.8541  0.6037 
   00051    0.4525   -1177.3094  0.6159 
   00052    0.4375   -1211.5844  0.6454 
   00053    0.4175   -1226.5182  0.6501 
   00054    0.3900   -1230.8157  0.6721 
   00055    0.4025   -1244.4294  0.6915 
   00056    0.4200   -1229.4313  0.6884 
   00057    0.4250   -1257.9903  0.7139 
   00058    0.4275   -1260.8524  0.7022 
   00059    0.4350   -1254.6018  0.7019 
   00060    0.4025   -1254.3267  0.7056 
   00061    0.4225   -1274.6338  0.7162 
   00062    0.4050   -1260.0823  0.7147 
   00063    0.3725   -1230.0671  0.6979 
   00064    0.3700   -1235.8554  0.7049 
   00065    0.4300   -1261.1821  0.7207 
   00066    0.4325   -1267.8046  0.7175 
   00067    0.3775   -1258.5289  0.7165 
