#=====================================================
# File created:        Mon-16-Feb-2026-at-02-35-16PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        2.964102
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -409.0117  0.3110 
   00001    0.6600    -586.4386  0.3001 
   00002    0.6325    -714.0042  0.3242 
   00003    0.6000    -840.3711  0.3718 
   00004    0.5625    -896.8707  0.4097 
   00005    0.5600    -986.9923  0.4243 
   00006    0.4700   -1045.4493  0.4366 
   00007    0.4375   -1064.4488  0.4257 
   00008    0.4475   -1049.0994  0.4439 
   00009    0.5200   -1057.0411  0.4363 
   00010    0.4600   -1080.4062  0.4350 
   00011    0.4875   -1091.4484  0.4202 
   00012    0.4075   -1087.8963  0.4344 
   00013    0.4425   -1122.8794  0.4188 
   00014    0.4475   -1128.5866  0.3908 
   00015    0.4525   -1127.2358  0.4049 
   00016    0.4325   -1120.3464  0.3982 
   00017    0.4325   -1123.6813  0.3864 
   00018    0.4400   -1121.4037  0.3704 
   00019    0.4425   -1161.5891  0.3840 
   00020    0.3950   -1150.7358  0.4016 
   00021    0.4350   -1139.6431  0.3872 
   00022    0.4050   -1150.0535  0.4002 
   00023    0.4100   -1146.8934  0.4032 
   00024    0.4425   -1154.7347  0.4174 
   00025    0.4450   -1160.6721  0.4213 
   00026    0.4250   -1166.0526  0.4316 
   00027    0.4100   -1170.1813  0.4420 
   00028    0.4475   -1146.9597  0.4285 
   00029    0.4400   -1128.8056  0.4204 
   00030    0.4375   -1133.0870  0.4319 
   00031    0.4200   -1150.9988  0.4256 
   00032    0.4650   -1188.3838  0.4178 
   00033    0.3925   -1187.4150  0.4067 
   00034    0.3900   -1165.2684  0.3977 
   00035    0.4325   -1147.3298  0.4001 
   00036    0.4200   -1174.1275  0.4060 
   00037    0.4325   -1187.2503  0.4352 
   00038    0.4075   -1186.2746  0.4205 
   00039    0.3900   -1169.2962  0.4177 
   00040    0.4150   -1163.5411  0.4278 
   00041    0.3800   -1167.9373  0.4194 
   00042    0.4450   -1155.8280  0.4020 
   00043    0.4325   -1140.4761  0.3932 
   00044    0.4500   -1147.5371  0.3829 
   00045    0.4275   -1174.4907  0.3646 
   00046    0.4325   -1158.3969  0.3653 
   00047    0.3650   -1174.3675  0.3780 
   00048    0.4075   -1200.0407  0.3972 
   00049    0.3725   -1205.5340  0.4114 
   00050    0.4525   -1220.1631  0.4164 
   00051    0.3900   -1240.6652  0.4223 
   00052    0.4150   -1235.2084  0.4369 
   00053    0.3925   -1234.6028  0.4559 
   00054    0.4125   -1216.1133  0.4611 
   00055    0.4175   -1210.2945  0.4565 
   00056    0.4125   -1188.0923  0.4555 
   00057    0.4275   -1215.9411  0.4632 
   00058    0.4000   -1215.7165  0.4444 
   00059    0.4525   -1202.0193  0.4423 
   00060    0.4325   -1183.9054  0.4454 
   00061    0.4300   -1179.9449  0.4438 
   00062    0.3775   -1206.1304  0.4567 
   00063    0.3650   -1204.6838  0.4562 
   00064    0.3975   -1222.7276  0.4875 
   00065    0.4225   -1219.2115  0.5049 
   00066    0.4200   -1225.4827  0.5093 
   00067    0.3625   -1214.6212  0.5253 
   00068    0.4025   -1231.5850  0.5239 
   00069    0.4200   -1231.7403  0.5180 
   00070    0.4100   -1246.9727  0.5177 
   00071    0.4250   -1232.7604  0.5006 
   00072    0.4150   -1220.5699  0.5023 
   00073    0.4150   -1227.4485  0.5266 
   00074    0.4200   -1228.0258  0.5509 
   00075    0.4025   -1231.3236  0.5401 
   00076    0.4300   -1253.2730  0.5585 
   00077    0.4100   -1264.1543  0.5681 
   00078    0.4050   -1237.3594  0.5778 
   00079    0.4575   -1243.7150  0.5688 
   00080    0.4825   -1240.9052  0.5642 
   00081    0.4125   -1250.8257  0.5771 
   00082    0.4250   -1252.5155  0.5652 
   00083    0.4050   -1237.3163  0.5518 
   00084    0.3900   -1257.4889  0.5653 
   00085    0.3925   -1255.0294  0.5662 
   00086    0.4300   -1225.7731  0.5526 
   00087    0.4400   -1197.1621  0.5401 
   00088    0.4350   -1174.2391  0.5217 
   00089    0.4375   -1187.7916  0.5502 
   00090    0.4025   -1185.1261  0.5153 
   00091    0.4125   -1195.6279  0.5146 
   00092    0.4325   -1197.5157  0.5165 
   00093    0.4325   -1218.7201  0.5135 
   00094    0.4275   -1234.2060  0.5159 
   00095    0.4175   -1255.5417  0.5266 
   00096    0.4275   -1274.7978  0.5348 
   00097    0.3750   -1253.1788  0.5346 
   00098    0.3725   -1241.1197  0.5384 
   00099    0.3700   -1244.0000  0.5563 
   00100    0.4075   -1247.8705  0.5627 
   00101    0.4075   -1239.2250  0.5687 
   00102    0.4375   -1215.0945  0.5762 
   00103    0.4150   -1252.6222  0.6017 
   00104    0.4500   -1236.7605  0.5871 
   00105    0.4150   -1227.0871  0.5639 
   00106    0.4000   -1245.4897  0.5601 
   00107    0.4050   -1258.1683  0.5631 
   00108    0.4550   -1218.2308  0.5819 
   00109    0.3950   -1240.3709  0.5847 
   00110    0.4200   -1251.6906  0.5825 
   00111    0.4175   -1246.1604  0.5760 
   00112    0.3825   -1231.8193  0.5743 
   00113    0.4150   -1248.9901  0.5909 
   00114    0.4050   -1196.6625  0.5885 
   00115    0.4325   -1219.9575  0.5948 
   00116    0.4325   -1216.6339  0.6050 
   00117    0.4175   -1226.6652  0.6075 
   00118    0.4250   -1255.7674  0.6158 
   00119    0.4125   -1252.0696  0.6317 
   00120    0.4075   -1244.4147  0.6312 
   00121    0.4525   -1264.0566  0.6331 
   00122    0.3575   -1247.2896  0.6454 
   00123    0.4100   -1247.8463  0.6243 
   00124    0.4275   -1250.8097  0.6288 
   00125    0.4100   -1242.6997  0.6278 
   00126    0.3825   -1233.3218  0.6311 
   00127    0.4200   -1216.6499  0.6353 
   00128    0.3800   -1224.9428  0.6360 
   00129    0.3675   -1224.2817  0.6324 
   00130    0.4300   -1246.3283  0.6437 
   00131    0.3900   -1228.8506  0.6269 
   00132    0.3900   -1242.7732  0.6284 
   00133    0.4225   -1253.1218  0.6188 
   00134    0.4350   -1243.5635  0.6269 
   00135    0.4525   -1224.5727  0.6309 
   00136    0.4250   -1208.9315  0.6070 
   00137    0.4225   -1251.2144  0.6134 
   00138    0.3875   -1250.2870  0.6264 
   00139    0.4325   -1252.0109  0.6381 
   00140    0.3975   -1244.7469  0.6298 
