#=====================================================
# File created:        Mon-16-Feb-2026-at-01-53-09PM
# Size of lattice:     80x80
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        44.594367
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -6142.9114  0.2621 
   00001    0.6863   -9532.2159  0.2589 
   00002    0.6208  -11514.9889  0.2671 
   00003    0.5755  -12916.4024  0.2637 
   00004    0.5461  -13954.0805  0.2665 
   00005    0.5223  -14720.5682  0.2693 
   00006    0.5056  -15306.7551  0.2717 
   00007    0.4948  -15609.6389  0.2675 
   00008    0.4891  -16085.3082  0.2712 
   00009    0.4878  -16468.5926  0.2749 
   00010    0.4797  -16685.7130  0.2777 
   00011    0.4675  -16812.5803  0.2776 
   00012    0.4798  -17088.0371  0.2690 
   00013    0.4545  -17283.3374  0.2683 
   00014    0.4575  -17588.4145  0.2709 
   00015    0.4450  -17714.1065  0.2754 
   00016    0.4462  -17860.8190  0.2696 
   00017    0.4427  -17870.2062  0.2663 
   00018    0.4422  -18018.3875  0.2616 
   00019    0.4375  -18144.0387  0.2608 
   00020    0.4419  -18206.0608  0.2585 
   00021    0.4545  -18317.7383  0.2579 
   00022    0.4448  -18517.5600  0.2619 
   00023    0.4272  -18581.4946  0.2664 
   00024    0.4492  -18566.5361  0.2684 
   00025    0.4209  -18569.5387  0.2651 
   00026    0.4394  -18567.8604  0.2670 
   00027    0.4278  -18644.2546  0.2685 
   00028    0.4319  -18656.4211  0.2719 
   00029    0.4333  -18752.2125  0.2697 
   00030    0.4370  -18839.5702  0.2677 
   00031    0.4283  -18887.3132  0.2699 
   00032    0.4261  -18868.9701  0.2679 
   00033    0.4242  -18875.2915  0.2682 
   00034    0.4295  -18913.2834  0.2663 
   00035    0.4445  -18944.1513  0.2645 
   00036    0.4220  -19015.0337  0.2644 
   00037    0.4280  -19040.3634  0.2613 
   00038    0.4266  -19028.4917  0.2599 
   00039    0.4297  -19090.5725  0.2638 
   00040    0.4214  -19031.9886  0.2595 
   00041    0.4375  -19053.8882  0.2592 
   00042    0.4241  -19117.7074  0.2661 
   00043    0.4300  -19177.7461  0.2670 
   00044    0.4266  -19124.9364  0.2714 
   00045    0.4344  -19148.9885  0.2751 
   00046    0.4252  -19245.9353  0.2762 
   00047    0.4230  -19298.2077  0.2797 
   00048    0.4275  -19199.0529  0.2778 
   00049    0.4241  -19117.1416  0.2793 
   00050    0.4197  -19196.9343  0.2764 
   00051    0.4119  -19355.0276  0.2814 
   00052    0.4177  -19260.8524  0.2802 
   00053    0.4228  -19399.2898  0.2806 
   00054    0.4181  -19414.2260  0.2799 
   00055    0.4061  -19369.7353  0.2794 
   00056    0.4113  -19445.6020  0.2777 
   00057    0.4102  -19540.9496  0.2795 
   00058    0.4163  -19543.2650  0.2774 
   00059    0.4219  -19552.2057  0.2772 
   00060    0.4195  -19526.2679  0.2765 
   00061    0.4317  -19564.5969  0.2749 
   00062    0.4138  -19559.8672  0.2765 
   00063    0.4159  -19547.0462  0.2721 
   00064    0.4136  -19494.2782  0.2728 
   00065    0.4220  -19600.6507  0.2708 
   00066    0.4172  -19466.9110  0.2715 
   00067    0.4128  -19541.8940  0.2757 
   00068    0.4192  -19460.2297  0.2737 
   00069    0.4161  -19446.1633  0.2745 
   00070    0.4298  -19494.0802  0.2719 
   00071    0.4166  -19424.3449  0.2736 
   00072    0.4238  -19382.3336  0.2695 
   00073    0.4117  -19383.2250  0.2722 
   00074    0.4150  -19512.5455  0.2717 
   00075    0.4119  -19550.6931  0.2750 
   00076    0.4111  -19471.7354  0.2772 
   00077    0.4136  -19499.8815  0.2806 
   00078    0.4153  -19597.1678  0.2797 
   00079    0.4244  -19648.4426  0.2837 
   00080    0.4095  -19696.5549  0.2867 
   00081    0.4097  -19648.7588  0.2884 
   00082    0.4120  -19687.2689  0.2933 
   00083    0.4172  -19717.1055  0.2939 
   00084    0.4045  -19702.4269  0.2884 
   00085    0.4119  -19642.8398  0.2886 
   00086    0.4163  -19618.7484  0.2854 
   00087    0.4094  -19568.1599  0.2816 
   00088    0.4181  -19669.4043  0.2816 
   00089    0.4180  -19637.2868  0.2813 
   00090    0.4114  -19625.4079  0.2805 
   00091    0.4098  -19759.2623  0.2780 
   00092    0.4075  -19683.9967  0.2817 
   00093    0.4089  -19635.0770  0.2789 
   00094    0.4144  -19656.2495  0.2789 
   00095    0.4127  -19642.8470  0.2828 
