LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.400, Time: 5.920262 s
         1506050 function calls (1488991 primitive calls) in 16.236 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    316/1    0.014    0.000   16.238   16.238 {built-in method builtins.exec}
        1    0.000    0.000   16.238   16.238 LebwohlLasher.py:1(<module>)
       34    0.010    0.000   11.520    0.339 __init__.py:1(<module>)
        1    0.002    0.002    8.665    8.665 LebwohlLasher.py:257(main)
    366/4    0.015    0.000    7.737    1.934 <frozen importlib._bootstrap>:1349(_find_and_load)
    363/4    0.011    0.000    7.736    1.934 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    349/5    0.008    0.000    7.719    1.544 <frozen importlib._bootstrap>:911(_load_unlocked)
    301/5    0.009    0.000    7.718    1.544 <frozen importlib._bootstrap_external>:993(exec_module)
    854/9    0.004    0.000    7.665    0.852 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   416/14    0.002    0.000    7.204    0.515 {built-in method builtins.__import__}
   371/66    0.004    0.000    6.467    0.098 <frozen importlib._bootstrap>:1390(_handle_fromlist)
   377500    5.613    0.000    5.613    0.000 LebwohlLasher.py:131(one_energy)
       50    1.245    0.025    5.061    0.101 LebwohlLasher.py:210(MC_step)
        1    0.002    0.002    3.803    3.803 pyplot.py:1(<module>)
      301    0.022    0.000    2.319    0.008 <frozen importlib._bootstrap_external>:1066(get_code)
1160/1070    0.109    0.000    2.236    0.002 {built-in method builtins.__build_class__}
        1    0.000    0.000    2.130    2.130 figure.py:1(<module>)
       51    0.089    0.002    1.893    0.037 LebwohlLasher.py:165(all_energy)
      410    0.013    0.000    1.824    0.004 <frozen importlib._bootstrap_external>:1187(get_data)
      410    1.658    0.004    1.658    0.004 {method 'read' of '_io.BufferedReader' objects}
       51    1.463    0.029    1.529    0.030 LebwohlLasher.py:182(get_order)
      105    0.072    0.001    1.516    0.014 artist.py:125(__init_subclass__)
      106    0.017    0.000    1.451    0.014 artist.py:158(_update_set_signature_and_docstring)
        1    0.002    0.002    1.429    1.429 rcsetup.py:1(<module>)
        1    0.000    0.000    1.257    1.257 image.py:1(<module>)
        1    0.001    0.001    1.174    1.174 backend_bases.py:1(<module>)
      120    0.003    0.000    1.162    0.010 artist.py:1832(kwdoc)
      120    0.030    0.000    1.007    0.008 artist.py:1593(pprint_setters)
  349/342    0.004    0.000    0.934    0.003 <frozen importlib._bootstrap>:806(module_from_spec)
    43/41    0.001    0.000    0.882    0.022 <frozen importlib._bootstrap_external>:1291(create_module)
    43/41    0.809    0.019    0.880    0.021 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.866    0.866 _axes.py:1(<module>)
      361    0.018    0.000    0.838    0.002 <frozen importlib._bootstrap>:1240(_find_spec)
     4409    0.074    0.000    0.804    0.000 artist.py:1461(get_valid_values)
      358    0.002    0.000    0.799    0.002 <frozen importlib._bootstrap_external>:1524(find_spec)
      358    0.008    0.000    0.797    0.002 <frozen importlib._bootstrap_external>:1495(_get_spec)
      608    0.035    0.000    0.774    0.001 <frozen importlib._bootstrap_external>:1597(find_spec)
        1    0.000    0.000    0.717    0.717 _fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.652    0.652 text.py:1(<module>)
        1    0.001    0.001    0.646    0.646 colors.py:1(<module>)
     7555    0.342    0.000    0.604    0.000 inspect.py:882(cleandoc)
        1    0.000    0.000    0.598    0.598 __config__.py:1(<module>)
     1427    0.006    0.000    0.524    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     7512    0.031    0.000    0.524    0.000 inspect.py:863(getdoc)
     1440    0.520    0.000    0.521    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.455    0.455 _arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.452    0.452 _index_tricks_impl.py:1(<module>)
        3    0.003    0.001    0.448    0.149 core.py:1(<module>)
        1    0.000    0.000    0.418    0.418 _base.py:1(<module>)
      301    0.032    0.000    0.416    0.001 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
        1    0.000    0.000    0.401    0.401 multiarray.py:1(<module>)
        1    0.000    0.000    0.391    0.391 defmatrix.py:1(<module>)
      301    0.379    0.001    0.379    0.001 {built-in method marshal.loads}
        1    0.001    0.001    0.372    0.372 _linalg.py:1(<module>)
      227    0.003    0.000    0.368    0.002 artist.py:1413(__init__)
      227    0.113    0.000    0.359    0.002 artist.py:1433(get_aliases)
       31    0.123    0.004    0.338    0.011 __init__.py:887(_rc_params_in_file)
        1    0.000    0.000    0.332    0.332 widgets.py:1(<module>)
        1    0.000    0.000    0.318    0.318 collections.py:1(<module>)
     7007    0.034    0.000    0.308    0.000 __init__.py:280(_compile)
        1    0.001    0.001    0.292    0.292 Image.py:1(<module>)
        2    0.006    0.003    0.281    0.140 core.py:198(read_style_directory)
      227    0.090    0.000    0.273    0.001 artist.py:1511(get_setters)
        1    0.000    0.000    0.262    0.262 axes3d.py:1(<module>)
      224    0.007    0.000    0.247    0.001 _compiler.py:745(compile)
  128/117    0.008    0.000    0.225    0.002 _docstring.py:122(__call__)
        1    0.003    0.003    0.218    0.218 _axes.py:67(Axes)
        9    0.000    0.000    0.217    0.024 _base.py:783(__init_subclass__)
     5929    0.019    0.000    0.216    0.000 __init__.py:174(search)
        2    0.000    0.000    0.207    0.103 __init__.py:707(__getattr__)
        1    0.000    0.000    0.200    0.200 textpath.py:1(<module>)
        1    0.000    0.000    0.193    0.193 patches.py:1(<module>)
    43/39    0.000    0.000    0.184    0.005 <frozen importlib._bootstrap_external>:1299(exec_module)
    43/39    0.101    0.002    0.184    0.005 {built-in method _imp.exec_dynamic}
       14    0.001    0.000    0.183    0.013 _docstring.py:73(__missing__)
      725    0.003    0.000    0.180    0.000 inspect.py:3346(signature)
      725    0.004    0.000    0.177    0.000 inspect.py:3081(from_callable)
       33    0.002    0.000    0.175    0.005 <frozen importlib._bootstrap_external>:1648(_fill_cache)
  856/725    0.025    0.000    0.173    0.000 inspect.py:2501(_signature_from_callable)
       33    0.173    0.005    0.173    0.005 {built-in method posix.listdir}
        1    0.000    0.000    0.165    0.165 LebwohlLasher.py:33(initdat)
      977    0.004    0.000    0.145    0.000 __init__.py:751(__setitem__)
        1    0.000    0.000    0.145    0.145 PngImagePlugin.py:1(<module>)
       73    0.000    0.000    0.143    0.002 __init__.py:226(compile)
      224    0.004    0.000    0.141    0.001 _parser.py:969(parse)
        1    0.000    0.000    0.138    0.138 pathlib.py:1(<module>)
      410    0.137    0.000    0.137    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.136    0.136 testing.py:1(<module>)
