#=====================================================
# File created:        Tue-03-Mar-2026-at-11-34-27PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.800
# Run time (s):        9.563274
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -435.4726  0.2887 
   00001    0.6800    -598.6700  0.2944 
   00002    0.6025    -736.0217  0.2835 
   00003    0.5600    -826.3208  0.2893 
   00004    0.5300    -881.1838  0.2998 
   00005    0.5200    -882.5126  0.2983 
   00006    0.5100    -913.6982  0.2805 
   00007    0.4950    -936.6354  0.2747 
   00008    0.5025    -946.3238  0.2821 
   00009    0.4975    -935.8835  0.3004 
   00010    0.4800    -972.1880  0.2905 
   00011    0.4525    -977.0297  0.2932 
   00012    0.4650    -991.0674  0.3080 
   00013    0.4800    -976.3454  0.3360 
   00014    0.4425   -1003.7864  0.3433 
   00015    0.4500   -1017.3148  0.3608 
   00016    0.5050   -1027.2661  0.3583 
   00017    0.4550   -1032.8721  0.3659 
   00018    0.4350   -1014.5929  0.3438 
   00019    0.4525   -1035.4972  0.3710 
   00020    0.4850   -1021.1214  0.3358 
   00021    0.4950   -1027.8579  0.3482 
   00022    0.4550   -1039.7362  0.3712 
   00023    0.4500   -1030.0547  0.3698 
   00024    0.5000    -987.6855  0.3840 
   00025    0.4650    -962.9574  0.3684 
   00026    0.4900    -982.9106  0.3883 
   00027    0.4825    -998.0075  0.3819 
   00028    0.4725    -998.7173  0.3686 
   00029    0.4575   -1024.0177  0.4215 
   00030    0.4450   -1043.6613  0.4364 
   00031    0.4775   -1028.1873  0.4509 
   00032    0.4650   -1058.9339  0.4719 
   00033    0.4575   -1043.1707  0.5018 
   00034    0.4525   -1052.5298  0.5084 
   00035    0.5000   -1048.8794  0.4912 
   00036    0.5050   -1064.1735  0.4927 
   00037    0.4600   -1061.5294  0.4886 
   00038    0.4275   -1048.2525  0.4843 
   00039    0.4400   -1064.3200  0.4604 
   00040    0.4625   -1086.0770  0.4728 
   00041    0.4150   -1077.0800  0.4874 
   00042    0.4275   -1075.8162  0.4723 
   00043    0.4550   -1089.5012  0.4873 
   00044    0.4500   -1083.9564  0.4955 
   00045    0.4750   -1114.5190  0.5155 
   00046    0.4375   -1086.0078  0.4998 
   00047    0.4375   -1085.4547  0.5151 
   00048    0.4250   -1096.5493  0.5136 
   00049    0.4350   -1128.8461  0.5248 
   00050    0.4550   -1165.5115  0.5424 
   00051    0.3950   -1174.3057  0.5377 
   00052    0.4000   -1154.2775  0.5350 
   00053    0.4525   -1117.2861  0.5054 
   00054    0.4450   -1107.4263  0.5214 
   00055    0.4400   -1098.9845  0.5212 
   00056    0.4000   -1118.9318  0.5413 
   00057    0.4425   -1120.9489  0.5567 
   00058    0.4300   -1099.8873  0.5495 
   00059    0.4325   -1103.8800  0.5366 
   00060    0.4925   -1083.8484  0.5439 
   00061    0.4425   -1092.0335  0.5710 
   00062    0.4175   -1093.5836  0.5577 
   00063    0.4450   -1131.9376  0.5761 
   00064    0.4200   -1117.3050  0.5715 
   00065    0.3850   -1093.3503  0.5654 
   00066    0.3925   -1115.7962  0.5854 
   00067    0.4500   -1119.2425  0.5834 
   00068    0.4550   -1106.6654  0.6030 
   00069    0.4525   -1091.9240  0.5630 
   00070    0.4425   -1103.9531  0.5732 
   00071    0.4325   -1120.9343  0.5833 
   00072    0.4325   -1134.2268  0.5745 
   00073    0.4400   -1118.3145  0.5704 
   00074    0.4775   -1109.5317  0.5787 
   00075    0.4125   -1091.8945  0.5590 
   00076    0.4250   -1100.1280  0.5589 
   00077    0.4100   -1147.3745  0.5757 
   00078    0.4100   -1152.5890  0.5515 
   00079    0.4250   -1136.3173  0.5365 
   00080    0.4000   -1139.5676  0.5415 
   00081    0.4250   -1159.1354  0.5553 
   00082    0.3925   -1135.8646  0.5530 
   00083    0.4300   -1114.3725  0.5418 
   00084    0.4550   -1125.7409  0.5630 
   00085    0.4675   -1115.2901  0.5727 
   00086    0.4050   -1084.2339  0.5675 
   00087    0.4275   -1095.9534  0.5868 
   00088    0.4625   -1089.1239  0.5837 
   00089    0.4400   -1107.0604  0.5845 
   00090    0.4250   -1142.3144  0.5699 
   00091    0.4250   -1138.9434  0.5722 
   00092    0.4350   -1145.7584  0.5708 
   00093    0.3825   -1122.8369  0.5603 
   00094    0.4350   -1151.8012  0.5648 
   00095    0.4450   -1135.4632  0.5802 
   00096    0.4275   -1169.2766  0.5923 
   00097    0.4100   -1144.4475  0.5712 
   00098    0.4475   -1132.9744  0.5695 
   00099    0.4375   -1132.3377  0.5743 
   00100    0.4700   -1125.4950  0.6182 
   00101    0.4275   -1121.1081  0.6238 
   00102    0.4150   -1143.1937  0.6291 
   00103    0.4075   -1147.1271  0.6137 
   00104    0.3950   -1146.4801  0.6015 
   00105    0.4275   -1134.6502  0.5973 
   00106    0.4350   -1129.7481  0.6071 
   00107    0.4025   -1150.2468  0.6046 
   00108    0.4600   -1121.7581  0.6154 
   00109    0.4450   -1116.7965  0.6178 
   00110    0.4475   -1082.1586  0.6141 
   00111    0.4175   -1114.5754  0.6047 
   00112    0.4675   -1126.6004  0.6031 
   00113    0.4025   -1122.0971  0.5798 
   00114    0.4375   -1104.3225  0.5518 
   00115    0.4525   -1147.7065  0.5529 
   00116    0.4275   -1130.1909  0.5614 
   00117    0.4325   -1142.5993  0.5797 
   00118    0.4125   -1130.1334  0.6051 
   00119    0.4375   -1123.9927  0.6271 
   00120    0.4575   -1108.5339  0.6015 
   00121    0.4225   -1146.1942  0.6135 
   00122    0.3325   -1175.3764  0.6125 
   00123    0.4250   -1195.8106  0.6403 
   00124    0.4000   -1183.6711  0.6522 
   00125    0.4350   -1192.4640  0.6637 
   00126    0.3625   -1181.1369  0.6731 
   00127    0.4425   -1184.2912  0.6765 
   00128    0.3975   -1189.8387  0.6801 
   00129    0.4175   -1178.3014  0.6560 
   00130    0.4400   -1144.8826  0.6439 
   00131    0.4600   -1158.6895  0.6621 
   00132    0.4150   -1169.4618  0.6792 
   00133    0.4600   -1132.0897  0.6782 
   00134    0.4450   -1105.9118  0.6851 
   00135    0.4475   -1102.1439  0.7070 
   00136    0.4150   -1124.3372  0.6958 
   00137    0.4750   -1160.0639  0.7045 
   00138    0.4150   -1166.2330  0.7289 
   00139    0.4125   -1181.7976  0.7317 
   00140    0.3925   -1180.9991  0.7163 
   00141    0.4400   -1194.3136  0.7463 
   00142    0.4225   -1184.9855  0.7273 
   00143    0.3575   -1193.6758  0.7251 
   00144    0.3750   -1206.0311  0.7356 
   00145    0.4225   -1195.2936  0.7384 
   00146    0.4100   -1189.9533  0.7497 
   00147    0.3950   -1187.1104  0.7470 
   00148    0.3950   -1176.2259  0.7254 
   00149    0.3825   -1199.4317  0.7326 
   00150    0.4400   -1194.6521  0.7439 
   00151    0.3775   -1173.6197  0.7370 
   00152    0.4200   -1156.8979  0.7281 
   00153    0.4325   -1171.5680  0.7246 
   00154    0.4050   -1153.9901  0.7239 
   00155    0.4250   -1126.8107  0.7240 
   00156    0.4475   -1151.9430  0.7323 
   00157    0.4250   -1146.9961  0.7260 
   00158    0.4425   -1138.9370  0.7304 
   00159    0.4300   -1144.8549  0.7322 
   00160    0.4075   -1161.8240  0.7457 
   00161    0.4175   -1173.6013  0.7556 
   00162    0.4350   -1208.4404  0.7657 
   00163    0.4050   -1202.1083  0.7577 
   00164    0.4350   -1199.3370  0.7620 
   00165    0.3975   -1189.6163  0.7641 
   00166    0.4300   -1220.3840  0.7801 
   00167    0.3700   -1218.6356  0.7709 
   00168    0.4050   -1206.0962  0.7671 
   00169    0.4075   -1200.4026  0.7584 
   00170    0.3700   -1191.4987  0.7430 
   00171    0.3925   -1182.9762  0.7370 
   00172    0.4200   -1164.3635  0.7353 
   00173    0.4025   -1126.4789  0.7217 
   00174    0.4050   -1118.9712  0.7280 
   00175    0.4375   -1139.5925  0.7304 
   00176    0.4000   -1143.7055  0.7212 
   00177    0.4350   -1114.2933  0.7068 
   00178    0.4025   -1110.0554  0.6992 
   00179    0.4350   -1119.9775  0.7082 
   00180    0.3800   -1137.2352  0.7140 
   00181    0.4000   -1167.5964  0.7127 
   00182    0.4225   -1169.1333  0.7089 
   00183    0.4700   -1149.7853  0.7018 
   00184    0.4025   -1134.4674  0.6963 
   00185    0.4650   -1137.2124  0.6865 
