#=====================================================
# File created:        Tue-03-Mar-2026-at-11-29-10PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        61.393626
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2471.0414  0.2870 
   00001    0.6932   -3830.3082  0.2921 
   00002    0.6184   -4543.0142  0.2994 
   00003    0.5732   -5074.9571  0.3147 
   00004    0.5424   -5524.8827  0.3295 
   00005    0.5088   -5838.0489  0.3415 
   00006    0.5056   -6067.3441  0.3418 
   00007    0.4828   -6231.7441  0.3445 
   00008    0.4820   -6361.4494  0.3540 
   00009    0.4796   -6482.3535  0.3581 
   00010    0.4560   -6647.0701  0.3680 
   00011    0.4648   -6693.2670  0.3759 
   00012    0.4668   -6775.4034  0.3754 
   00013    0.4396   -6817.3877  0.3826 
   00014    0.4460   -6906.8867  0.3886 
   00015    0.4560   -6875.1865  0.3882 
   00016    0.4572   -6928.3909  0.3911 
   00017    0.4580   -6947.2973  0.3972 
   00018    0.4524   -7019.7721  0.4032 
   00019    0.4460   -7009.2393  0.4054 
   00020    0.4404   -7087.5038  0.4041 
   00021    0.4248   -7090.4868  0.4091 
   00022    0.4348   -7054.7053  0.4037 
   00023    0.4560   -7110.8436  0.4152 
   00024    0.4240   -7117.3641  0.4149 
   00025    0.4380   -7135.3690  0.4223 
   00026    0.4496   -7144.3656  0.4170 
   00027    0.4364   -7188.2504  0.4163 
   00028    0.4520   -7149.0359  0.4159 
   00029    0.4200   -7186.5875  0.4256 
   00030    0.4156   -7223.8703  0.4323 
   00031    0.4428   -7199.2719  0.4367 
   00032    0.4440   -7190.5520  0.4463 
   00033    0.4316   -7226.2885  0.4559 
   00034    0.4436   -7271.4895  0.4558 
   00035    0.4240   -7223.6937  0.4665 
   00036    0.4360   -7271.9386  0.4610 
   00037    0.4288   -7347.1263  0.4599 
   00038    0.4216   -7422.2250  0.4623 
   00039    0.4236   -7436.7036  0.4653 
   00040    0.4136   -7456.6076  0.4647 
   00041    0.4348   -7519.4708  0.4661 
   00042    0.4400   -7543.4924  0.4669 
   00043    0.4084   -7560.2212  0.4723 
   00044    0.4240   -7575.0593  0.4680 
   00045    0.4252   -7581.8608  0.4694 
   00046    0.4296   -7599.2054  0.4688 
   00047    0.4092   -7600.6150  0.4652 
   00048    0.4100   -7599.0936  0.4677 
   00049    0.4076   -7578.8582  0.4632 
   00050    0.4276   -7527.9090  0.4588 
   00051    0.4176   -7512.7659  0.4621 
   00052    0.4136   -7567.4566  0.4619 
   00053    0.4404   -7514.3619  0.4673 
   00054    0.4068   -7566.2644  0.4683 
   00055    0.4324   -7583.7071  0.4684 
   00056    0.4084   -7591.9958  0.4707 
   00057    0.4160   -7635.0396  0.4782 
   00058    0.4164   -7659.7566  0.4714 
   00059    0.4248   -7612.1475  0.4624 
   00060    0.4112   -7707.6148  0.4654 
   00061    0.4140   -7697.5224  0.4621 
   00062    0.4136   -7630.6539  0.4644 
   00063    0.4220   -7609.0707  0.4698 
   00064    0.3884   -7627.3446  0.4633 
   00065    0.4164   -7590.0191  0.4701 
   00066    0.4044   -7611.2513  0.4699 
   00067    0.4016   -7654.2092  0.4701 
   00068    0.4200   -7678.8517  0.4685 
   00069    0.4240   -7710.6553  0.4803 
   00070    0.3992   -7739.7479  0.4809 
   00071    0.4036   -7711.7444  0.4778 
   00072    0.4064   -7686.1741  0.4820 
   00073    0.4112   -7671.5910  0.4830 
   00074    0.4056   -7685.3727  0.4856 
   00075    0.4228   -7641.3764  0.4807 
   00076    0.4172   -7668.6699  0.4814 
   00077    0.4204   -7667.8344  0.4907 
   00078    0.4220   -7701.2135  0.4948 
   00079    0.4116   -7740.3694  0.5049 
   00080    0.4320   -7740.1458  0.5043 
   00081    0.4204   -7786.2345  0.5078 
   00082    0.3988   -7748.7308  0.5181 
   00083    0.4060   -7741.1822  0.5120 
   00084    0.3916   -7749.0831  0.5099 
   00085    0.4216   -7750.7794  0.5115 
   00086    0.3888   -7693.7205  0.5070 
   00087    0.4012   -7708.9613  0.5066 
   00088    0.4100   -7731.1302  0.5099 
   00089    0.4164   -7760.2979  0.5151 
   00090    0.4060   -7735.1841  0.5136 
   00091    0.4132   -7755.1681  0.5172 
   00092    0.4048   -7748.3412  0.5179 
   00093    0.4076   -7743.5730  0.5222 
   00094    0.3944   -7759.6163  0.5263 
   00095    0.4176   -7770.1844  0.5248 
   00096    0.4264   -7722.2983  0.5199 
   00097    0.4056   -7685.1578  0.5226 
   00098    0.4140   -7718.5295  0.5244 
   00099    0.4204   -7729.4470  0.5346 
   00100    0.4112   -7797.5945  0.5398 
   00101    0.4144   -7823.5929  0.5368 
   00102    0.4020   -7802.8587  0.5386 
   00103    0.4008   -7829.7820  0.5431 
   00104    0.3992   -7777.8080  0.5400 
   00105    0.4032   -7802.4575  0.5478 
   00106    0.4032   -7808.4316  0.5450 
   00107    0.3916   -7786.4627  0.5411 
   00108    0.3916   -7847.5774  0.5420 
   00109    0.3904   -7804.5919  0.5364 
   00110    0.3872   -7810.8712  0.5384 
   00111    0.4184   -7812.8417  0.5391 
   00112    0.4152   -7752.1512  0.5423 
   00113    0.4056   -7741.9945  0.5432 
   00114    0.4064   -7787.4885  0.5368 
   00115    0.4012   -7803.4330  0.5406 
   00116    0.4012   -7760.2859  0.5419 
   00117    0.4068   -7753.5452  0.5492 
   00118    0.4128   -7717.2469  0.5496 
   00119    0.4196   -7726.1615  0.5533 
   00120    0.4320   -7674.2357  0.5531 
   00121    0.4116   -7759.8581  0.5504 
   00122    0.4004   -7775.1675  0.5500 
   00123    0.3868   -7773.3336  0.5510 
   00124    0.4036   -7784.6052  0.5529 
   00125    0.4068   -7793.0711  0.5576 
   00126    0.4028   -7764.1640  0.5574 
   00127    0.3824   -7749.2231  0.5617 
   00128    0.4144   -7761.9233  0.5617 
   00129    0.4228   -7762.5686  0.5645 
   00130    0.3884   -7795.3321  0.5614 
   00131    0.4184   -7789.8262  0.5625 
   00132    0.4132   -7771.7786  0.5590 
   00133    0.3924   -7772.5738  0.5497 
   00134    0.4108   -7797.9895  0.5488 
   00135    0.3960   -7796.8748  0.5559 
   00136    0.4104   -7766.1503  0.5570 
   00137    0.4192   -7783.0444  0.5569 
   00138    0.4160   -7822.0765  0.5595 
   00139    0.4188   -7829.3874  0.5666 
   00140    0.4240   -7809.1784  0.5622 
   00141    0.3756   -7788.7180  0.5581 
   00142    0.4076   -7833.3866  0.5619 
   00143    0.4048   -7801.4413  0.5610 
   00144    0.4116   -7771.8199  0.5559 
   00145    0.4100   -7757.6627  0.5501 
   00146    0.4140   -7798.6300  0.5563 
