#=====================================================
# File created:        Mon-02-Mar-2026-at-08-22-31PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.650
# Run time (s):        7.163647
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10184.3929  0.2555 
   00001    0.6808  -15356.6772  0.2549 
   00002    0.6112  -18159.5600  0.2577 
   00003    0.5706  -20162.7742  0.2618 
   00004    0.5416  -21765.7891  0.2656 
   00005    0.5335  -22922.5835  0.2627 
   00006    0.5073  -23988.0358  0.2643 
   00007    0.4908  -24664.3414  0.2683 
   00008    0.4804  -25351.3073  0.2660 
   00009    0.4737  -25897.2481  0.2614 
   00010    0.4695  -26226.4381  0.2664 
   00011    0.4588  -26587.3614  0.2673 
   00012    0.4653  -26866.7025  0.2726 
   00013    0.4579  -27192.5229  0.2760 
   00014    0.4557  -27420.1585  0.2769 
   00015    0.4567  -27649.7009  0.2775 
   00016    0.4504  -27774.8485  0.2748 
   00017    0.4462  -27985.4388  0.2768 
   00018    0.4462  -28148.7158  0.2821 
   00019    0.4517  -28298.1976  0.2881 
   00020    0.4459  -28454.9761  0.2887 
   00021    0.4501  -28452.0012  0.2865 
   00022    0.4367  -28499.4973  0.2820 
   00023    0.4373  -28735.9756  0.2831 
   00024    0.4382  -28848.3559  0.2859 
   00025    0.4418  -28912.0207  0.2905 
   00026    0.4353  -29052.4455  0.2930 
   00027    0.4362  -29229.5061  0.2954 
   00028    0.4316  -29311.3733  0.2991 
   00029    0.4354  -29343.4105  0.2980 
   00030    0.4243  -29308.7863  0.3023 
   00031    0.4337  -29534.0486  0.3034 
   00032    0.4221  -29609.5214  0.3004 
   00033    0.4240  -29613.1812  0.2986 
   00034    0.4253  -29648.7500  0.2933 
   00035    0.4183  -29868.8376  0.2968 
   00036    0.4226  -29944.0769  0.2950 
   00037    0.4223  -29994.3335  0.2948 
   00038    0.4257  -30176.8536  0.2933 
   00039    0.4232  -30220.3094  0.2954 
   00040    0.4173  -30203.5232  0.2942 
   00041    0.4186  -30233.7443  0.2933 
   00042    0.4247  -30301.7268  0.2948 
   00043    0.4184  -30141.3524  0.2976 
   00044    0.4211  -30337.0976  0.2998 
   00045    0.4200  -30320.4650  0.2990 
   00046    0.4280  -30238.0451  0.2985 
   00047    0.4176  -30288.8337  0.2970 
   00048    0.4140  -30228.6952  0.2976 
   00049    0.4157  -30218.9765  0.3053 
   00050    0.4206  -30306.7703  0.3066 
