#=====================================================
# File created:        Tue-24-Feb-2026-at-05-48-46PM
# Size of lattice:     75x75
# Number of MC steps:  50
# Reduced temperature: 0.650
# Run time (s):        1.638351
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5552.9049  0.2585 
   00001    0.6804   -8458.6927  0.2626 
   00002    0.6091  -10182.6683  0.2669 
   00003    0.5790  -11415.8048  0.2622 
   00004    0.5422  -12296.8770  0.2725 
   00005    0.5127  -12899.2131  0.2742 
   00006    0.5148  -13467.6770  0.2708 
   00007    0.5054  -13915.6187  0.2729 
   00008    0.4880  -14185.6422  0.2759 
   00009    0.4807  -14463.4339  0.2752 
   00010    0.4747  -14643.3633  0.2807 
   00011    0.4761  -14904.6901  0.2874 
   00012    0.4757  -15103.2710  0.2917 
   00013    0.4551  -15280.2974  0.2933 
   00014    0.4498  -15347.9506  0.2968 
   00015    0.4551  -15547.0145  0.2952 
   00016    0.4464  -15580.0145  0.2970 
   00017    0.4491  -15752.2151  0.2975 
   00018    0.4524  -15841.9327  0.2991 
   00019    0.4375  -15898.9724  0.2986 
   00020    0.4425  -16037.9432  0.3056 
   00021    0.4366  -16096.7224  0.3017 
   00022    0.4359  -16220.9106  0.2946 
   00023    0.4297  -16304.2012  0.2912 
   00024    0.4327  -16462.2771  0.2950 
   00025    0.4500  -16418.6791  0.2972 
   00026    0.4293  -16431.3473  0.2981 
   00027    0.4302  -16477.0462  0.2978 
   00028    0.4331  -16460.7833  0.2942 
   00029    0.4379  -16420.7894  0.2996 
   00030    0.4469  -16451.2720  0.2980 
   00031    0.4263  -16525.0075  0.2995 
   00032    0.4409  -16537.9236  0.3051 
   00033    0.4256  -16606.5555  0.3027 
   00034    0.4276  -16666.1384  0.2907 
   00035    0.4345  -16747.6449  0.2940 
   00036    0.4292  -16726.5441  0.2935 
   00037    0.4272  -16827.5051  0.2953 
   00038    0.4238  -16793.2484  0.2940 
   00039    0.4302  -16781.3296  0.2901 
   00040    0.4347  -16769.7734  0.2842 
   00041    0.4222  -16767.2752  0.2831 
   00042    0.4180  -16769.1443  0.2854 
   00043    0.4242  -16804.1570  0.2854 
   00044    0.4226  -16832.9270  0.2837 
   00045    0.4210  -16878.7941  0.2877 
   00046    0.4364  -16948.9203  0.2888 
   00047    0.4299  -16945.6361  0.2817 
   00048    0.4236  -17062.0943  0.2878 
   00049    0.4251  -17076.5002  0.2938 
   00050    0.4096  -17118.3980  0.2952 
