#=====================================================
# File created:        Sun-01-Mar-2026-at-12-17-17PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.650
# Run time (s):        0.093009
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -134.9451  0.3454 
   00001    0.6500    -189.4687  0.3631 
   00002    0.5600    -236.8421  0.3728 
   00003    0.4600    -249.2044  0.4107 
   00004    0.4800    -260.7282  0.4610 
   00005    0.5500    -266.6906  0.4504 
   00006    0.4500    -255.5028  0.4974 
   00007    0.4600    -261.4061  0.5254 
   00008    0.5000    -263.5576  0.5732 
   00009    0.4600    -267.0266  0.5842 
   00010    0.4700    -270.9819  0.6241 
   00011    0.5200    -268.8430  0.6488 
   00012    0.4600    -288.0652  0.6604 
   00013    0.5100    -276.9870  0.6411 
   00014    0.4200    -286.2180  0.6352 
   00015    0.3900    -289.5724  0.6513 
   00016    0.4500    -293.7533  0.6504 
   00017    0.4900    -306.7963  0.6867 
   00018    0.4600    -312.8871  0.6974 
   00019    0.3800    -312.5503  0.7195 
   00020    0.5000    -314.3729  0.7338 
   00021    0.4200    -298.1094  0.7313 
   00022    0.4500    -298.5147  0.7219 
   00023    0.4400    -301.7906  0.7120 
   00024    0.3800    -299.2714  0.7358 
   00025    0.4000    -302.6452  0.7542 
   00026    0.4300    -313.3018  0.7898 
   00027    0.4300    -311.8357  0.8102 
   00028    0.3600    -323.7974  0.8184 
   00029    0.4000    -323.0460  0.8129 
   00030    0.3400    -324.1805  0.8123 
   00031    0.4700    -328.2507  0.8131 
   00032    0.3600    -325.7489  0.8048 
   00033    0.4000    -328.5710  0.8155 
   00034    0.3800    -335.8442  0.8359 
   00035    0.3100    -328.6037  0.8404 
   00036    0.4400    -335.9908  0.8243 
   00037    0.3000    -328.3406  0.8129 
   00038    0.3200    -316.1362  0.8013 
   00039    0.4700    -319.3781  0.8068 
   00040    0.4300    -319.6870  0.8220 
   00041    0.3200    -319.0360  0.8286 
   00042    0.3500    -309.3079  0.8089 
   00043    0.3900    -315.7604  0.8244 
   00044    0.3700    -326.1044  0.8465 
   00045    0.4400    -342.6168  0.8793 
   00046    0.3400    -344.2593  0.8778 
   00047    0.4000    -343.1993  0.8800 
   00048    0.3800    -331.5873  0.8689 
   00049    0.3900    -332.6096  0.8758 
   00050    0.2900    -324.7228  0.8538 
