#=====================================================
# File created:        Tue-03-Mar-2026-at-06-19-15PM
# Size of lattice:     25x25
# Number of MC steps:  25
# Reduced temperature: 0.650
# Run time (s):        0.474573
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -602.2932  0.2593 
   00001    0.6544    -951.0159  0.2584 
   00002    0.6256   -1142.4130  0.2626 
   00003    0.5664   -1294.2216  0.2792 
   00004    0.5440   -1384.7503  0.2965 
   00005    0.5248   -1479.3832  0.3163 
   00006    0.4720   -1523.3885  0.3137 
   00007    0.4864   -1555.7974  0.3045 
   00008    0.4896   -1567.8459  0.3148 
   00009    0.5024   -1573.1878  0.3123 
   00010    0.4640   -1576.8331  0.2989 
   00011    0.4880   -1590.0035  0.3080 
   00012    0.4752   -1620.6794  0.3130 
   00013    0.4672   -1639.1257  0.3038 
   00014    0.4800   -1652.1066  0.3103 
   00015    0.4672   -1647.0439  0.3015 
   00016    0.5008   -1639.5802  0.3122 
   00017    0.4848   -1660.9666  0.3250 
   00018    0.4096   -1692.8463  0.3359 
   00019    0.4128   -1692.3443  0.3571 
   00020    0.4432   -1699.0225  0.3828 
   00021    0.4416   -1703.5908  0.3937 
   00022    0.4560   -1719.0880  0.3909 
   00023    0.4656   -1712.2435  0.3822 
   00024    0.4880   -1686.1190  0.3771 
   00025    0.4688   -1737.4436  0.3709 
