#=====================================================
# File created:        Tue-17-Feb-2026-at-11-44-34AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.650
# Run time (s):        0.648392
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2453.7169  0.2572 
   00001    0.6756   -3750.6284  0.2587 
   00002    0.6312   -4520.3520  0.2623 
   00003    0.5604   -4978.9644  0.2683 
   00004    0.5480   -5396.1391  0.2703 
   00005    0.5264   -5636.7367  0.2774 
   00006    0.5180   -5900.5457  0.2984 
   00007    0.5084   -6071.2479  0.3115 
   00008    0.4896   -6285.0546  0.3173 
   00009    0.4800   -6336.3327  0.3234 
   00010    0.4788   -6457.8866  0.3300 
   00011    0.4832   -6532.3265  0.3247 
   00012    0.4600   -6670.8522  0.3341 
   00013    0.4480   -6742.8182  0.3311 
   00014    0.4572   -6817.0334  0.3258 
   00015    0.4732   -6867.8888  0.3260 
   00016    0.4544   -6883.2815  0.3324 
   00017    0.4484   -6912.6789  0.3388 
   00018    0.4448   -6964.3192  0.3427 
   00019    0.4472   -7046.8196  0.3523 
   00020    0.4488   -7057.5653  0.3509 
   00021    0.4384   -7060.5155  0.3574 
   00022    0.4596   -7122.6833  0.3619 
   00023    0.4288   -7107.0997  0.3606 
   00024    0.4424   -7172.0863  0.3621 
   00025    0.4316   -7229.6235  0.3636 
   00026    0.4388   -7242.1930  0.3669 
   00027    0.4452   -7271.0499  0.3697 
   00028    0.4360   -7317.7339  0.3696 
   00029    0.4448   -7308.6747  0.3759 
   00030    0.4196   -7308.4958  0.3803 
   00031    0.4196   -7352.3039  0.3854 
   00032    0.4320   -7340.1845  0.3927 
   00033    0.4068   -7365.0228  0.3950 
   00034    0.4388   -7332.2605  0.3999 
   00035    0.4500   -7381.7156  0.4037 
   00036    0.4488   -7328.6164  0.4010 
   00037    0.4236   -7355.5483  0.4014 
   00038    0.4452   -7391.1841  0.3942 
   00039    0.4352   -7402.9416  0.4070 
   00040    0.4372   -7420.4660  0.4062 
   00041    0.4228   -7438.3234  0.4050 
   00042    0.4308   -7456.1859  0.4089 
   00043    0.4172   -7426.4889  0.4171 
   00044    0.4460   -7427.6937  0.4212 
   00045    0.4216   -7447.4884  0.4191 
   00046    0.4216   -7479.6437  0.4243 
   00047    0.4132   -7558.4796  0.4232 
   00048    0.4084   -7512.8094  0.4239 
   00049    0.4192   -7522.8916  0.4260 
   00050    0.4192   -7584.8968  0.4284 
