#=====================================================
# File created:        Sun-01-Mar-2026-at-11-02-18AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.650
# Run time (s):        0.833855
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2334.2021  0.2682 
   00001    0.6952   -3648.2655  0.2754 
   00002    0.6348   -4481.8737  0.2723 
   00003    0.5840   -4985.3841  0.2716 
   00004    0.5460   -5458.8930  0.2807 
   00005    0.5296   -5736.9396  0.2976 
   00006    0.5092   -5987.8658  0.3066 
   00007    0.4972   -6119.8894  0.3147 
   00008    0.4864   -6285.6001  0.3195 
   00009    0.4848   -6486.0773  0.3168 
   00010    0.4796   -6621.0629  0.3261 
   00011    0.4412   -6696.8272  0.3354 
   00012    0.4612   -6754.4950  0.3343 
   00013    0.4704   -6799.5983  0.3394 
   00014    0.4868   -6894.7661  0.3291 
   00015    0.4536   -6878.6356  0.3196 
   00016    0.4476   -7011.2097  0.3306 
   00017    0.4284   -7025.0099  0.3285 
   00018    0.4316   -7081.9844  0.3334 
   00019    0.4252   -7210.2612  0.3314 
   00020    0.4508   -7240.4781  0.3381 
   00021    0.4488   -7241.3443  0.3402 
   00022    0.4456   -7300.1522  0.3490 
   00023    0.4176   -7320.8632  0.3534 
   00024    0.4316   -7373.0191  0.3572 
   00025    0.4268   -7425.6472  0.3580 
   00026    0.4228   -7433.5350  0.3564 
   00027    0.4344   -7446.9625  0.3554 
   00028    0.4396   -7447.2511  0.3536 
   00029    0.4264   -7396.7430  0.3523 
   00030    0.4152   -7424.3487  0.3645 
   00031    0.4224   -7459.2058  0.3674 
   00032    0.4284   -7502.6409  0.3668 
   00033    0.4252   -7424.3721  0.3687 
   00034    0.4092   -7481.5704  0.3671 
   00035    0.4136   -7532.8297  0.3789 
   00036    0.4284   -7497.1127  0.3746 
   00037    0.4044   -7480.7453  0.3757 
   00038    0.4280   -7540.6743  0.3798 
   00039    0.4204   -7536.5796  0.3838 
   00040    0.4056   -7546.5618  0.3838 
   00041    0.4056   -7585.4231  0.3879 
   00042    0.4168   -7575.2320  0.3873 
   00043    0.4272   -7579.7839  0.3872 
   00044    0.4204   -7524.0534  0.3858 
   00045    0.4284   -7532.2197  0.3881 
   00046    0.4292   -7538.2304  0.3923 
   00047    0.4196   -7551.5037  0.3873 
   00048    0.4148   -7537.2957  0.3923 
   00049    0.4240   -7571.3662  0.3854 
   00050    0.4092   -7624.1422  0.3922 
