#=====================================================
# File created:        Sun-01-Mar-2026-at-01-25-09PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.650
# Run time (s):        1.323459
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2478.7724  0.2635 
   00001    0.6560   -3640.4249  0.2808 
   00002    0.6088   -4550.3958  0.2990 
   00003    0.5716   -5057.4328  0.3039 
   00004    0.5456   -5459.9278  0.2909 
   00005    0.5032   -5691.6236  0.2961 
   00006    0.5048   -5900.3669  0.3016 
   00007    0.4976   -6156.7169  0.3103 
   00008    0.4788   -6277.8561  0.3141 
   00009    0.4904   -6428.2690  0.3213 
   00010    0.4608   -6590.6461  0.3258 
   00011    0.4648   -6615.9286  0.3265 
   00012    0.4620   -6717.9987  0.3301 
   00013    0.4576   -6833.5007  0.3236 
   00014    0.4504   -6882.3322  0.3178 
   00015    0.4552   -7024.4039  0.3268 
   00016    0.4416   -7072.6940  0.3325 
   00017    0.4500   -7105.2559  0.3300 
   00018    0.4272   -7179.5349  0.3368 
   00019    0.4384   -7262.0282  0.3396 
   00020    0.4224   -7303.1756  0.3443 
   00021    0.4188   -7388.4863  0.3388 
   00022    0.4152   -7368.9791  0.3339 
   00023    0.4416   -7428.0655  0.3418 
   00024    0.4076   -7391.2788  0.3342 
   00025    0.4348   -7390.0218  0.3368 
   00026    0.4176   -7378.2957  0.3372 
   00027    0.4396   -7429.7140  0.3449 
   00028    0.4204   -7439.4000  0.3375 
   00029    0.4268   -7430.5404  0.3485 
   00030    0.4448   -7427.9355  0.3505 
   00031    0.4324   -7433.5997  0.3530 
   00032    0.4140   -7456.6188  0.3501 
   00033    0.4116   -7379.2290  0.3609 
   00034    0.4260   -7471.9627  0.3627 
   00035    0.4340   -7510.1330  0.3649 
   00036    0.4236   -7427.2551  0.3711 
   00037    0.4184   -7467.7232  0.3743 
   00038    0.4088   -7489.4647  0.3888 
   00039    0.4240   -7423.3702  0.3894 
   00040    0.4184   -7452.8288  0.3931 
   00041    0.4084   -7470.0654  0.4023 
   00042    0.4156   -7528.3282  0.3971 
   00043    0.4184   -7571.1580  0.3981 
   00044    0.4168   -7574.7656  0.3872 
   00045    0.4160   -7607.0968  0.3934 
   00046    0.4280   -7588.3133  0.3961 
   00047    0.4188   -7484.8761  0.3919 
   00048    0.4108   -7555.7463  0.3889 
   00049    0.4280   -7564.5158  0.3910 
   00050    0.4088   -7594.7092  0.3973 
